riverseg,landseg,floafo,floalf,floccn,flocex,flocfo,flocid,flocpd,flofor,flohom,flohvf,flohwm,flohyo,flohyw,flolwm,flonal,flonex,flonhi,flonho,flonhy,flonid,flonlo,flonpa,flonpd,flopas,florcn,florex,florid,florpd,flotrp,flours,tn afo,tn alf,tn ccn,tn cex,tn cfo,tn cid,tn cpd,tn for,tn hom,tn hvf,tn hwm,tn hyo,tn hyw,tn lwm,tn nal,tn nex,tn nhi,tn nho,tn nhy,tn nid,tn nlo,tn npa,tn npd,tn pas,tn rcn,tn rex,tn rid,tn rpd,tn trp,tn urs,tp afo,tp alf,tp ccn,tp cex,tp cfo,tp cid,tp cpd,tp for,tp hom,tp hvf,tp hwm,tp hyo,tp hyw,tp lwm,tp nal,tp nex,tp nhi,tp nho,tp nhy,tp nid,tp nlo,tp npa,tp npd,tp pas,tp rcn,tp rex,tp rid,tp rpd,tp trp,tp urs,sedafo,sedalf,sedccn,sedcex,sedcfo,sedcid,sedcpd,sedfor,sedhom,sedhvf,sedhwm,sedhyo,sedhyw,sedlwm,sednal,sednex,sednhi,sednho,sednhy,sednid,sednlo,sednpa,sednpd,sedpas,sedrcn,sedrex,sedrid,sedrpd,sedtrp,sedurs
JB0_7074_0000,F51670,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.046,0.046,0.000,0.000,0.046,0.000,0.000,0.043,0.046,0.043,0.046,0.046,0.046,0.046,0.046,0.057,0.046,0.046,0.046,0.045,0.046,0.081,0.045,0.081,0.046,0.057,0.045,0.045,0.081,0.046
JB0_7075_0000,A51670,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.046,0.046,0.000,0.000,0.046,0.000,0.000,0.043,0.046,0.043,0.046,0.046,0.046,0.046,0.046,0.057,0.046,0.046,0.046,0.045,0.046,0.081,0.045,0.081,0.046,0.057,0.045,0.045,0.081,0.046
JB0_7075_0000,F51670,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.046,0.046,0.000,0.000,0.046,0.000,0.000,0.043,0.046,0.043,0.046,0.046,0.046,0.046,0.046,0.057,0.046,0.046,0.046,0.045,0.046,0.081,0.045,0.081,0.046,0.057,0.045,0.045,0.081,0.046
JB0_7076_0000,A51041,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.055,0.055,0.000,0.000,0.055,0.000,0.000,0.049,0.055,0.049,0.055,0.055,0.055,0.055,0.055,0.048,0.055,0.055,0.055,0.044,0.055,0.055,0.044,0.055,0.044,0.048,0.044,0.044,0.055,0.055
JB0_7270_0000,A51036,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.054,0.054,0.000,0.000,0.054,0.000,0.000,0.050,0.054,0.050,0.054,0.054,0.054,0.054,0.054,0.053,0.054,0.054,0.054,0.051,0.054,0.055,0.051,0.055,0.053,0.053,0.051,0.051,0.055,0.054
JB0_7270_0000,A51149,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.034,0.034,0.000,0.000,0.034,0.000,0.000,0.030,0.034,0.030,0.034,0.034,0.034,0.034,0.034,0.050,0.034,0.034,0.034,0.029,0.034,0.031,0.029,0.031,0.023,0.050,0.029,0.029,0.031,0.034
JB0_7270_0000,A51181,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.027,0.027,0.000,0.000,0.027,0.000,0.000,0.028,0.027,0.028,0.027,0.027,0.027,0.027,0.027,0.021,0.027,0.027,0.027,0.029,0.027,0.032,0.029,0.032,0.022,0.021,0.029,0.029,0.032,0.027
JB0_7270_0000,F51149,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.034,0.034,0.000,0.000,0.034,0.000,0.000,0.030,0.034,0.030,0.034,0.034,0.034,0.034,0.034,0.050,0.034,0.034,0.034,0.029,0.034,0.031,0.029,0.031,0.023,0.050,0.029,0.029,0.031,0.034
JB0_7271_0000,A51036,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.053,0.053,0.000,0.000,0.053,0.000,0.000,0.049,0.053,0.049,0.053,0.053,0.053,0.053,0.053,0.055,0.053,0.053,0.053,0.051,0.053,0.054,0.051,0.054,0.052,0.055,0.051,0.051,0.054,0.053
JB0_7271_0000,A51181,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.027,0.027,0.000,0.000,0.027,0.000,0.000,0.028,0.027,0.028,0.027,0.027,0.027,0.027,0.027,0.021,0.027,0.027,0.027,0.029,0.027,0.032,0.029,0.032,0.022,0.021,0.029,0.029,0.032,0.027
JB0_7381_0000,A51550,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.022,0.022,0.000,0.000,0.022,0.000,0.000,0.025,0.022,0.025,0.022,0.022,0.022,0.022,0.022,0.031,0.022,0.022,0.022,0.030,0.022,0.025,0.030,0.025,0.027,0.031,0.030,0.030,0.025,0.022
JB0_7381_0000,A51710,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.051,0.051,0.000,0.000,0.051,0.000,0.000,0.056,0.051,0.056,0.051,0.051,0.051,0.051,0.051,0.092,0.051,0.051,0.051,0.058,0.051,0.063,0.058,0.063,0.069,0.092,0.058,0.058,0.063,0.051
JB0_7381_0000,A51810,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.030,0.030,0.000,0.000,0.030,0.000,0.000,0.031,0.030,0.031,0.030,0.030,0.030,0.030,0.030,0.027,0.030,0.030,0.030,0.030,0.030,0.029,0.030,0.029,0.032,0.027,0.030,0.030,0.029,0.030
JB0_7381_0000,F51710,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.051,0.051,0.000,0.000,0.051,0.000,0.000,0.056,0.051,0.056,0.051,0.051,0.051,0.051,0.051,0.092,0.051,0.051,0.051,0.058,0.051,0.063,0.058,0.063,0.069,0.092,0.058,0.058,0.063,0.051
JB0_7382_0000,A51550,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.022,0.022,0.000,0.000,0.022,0.000,0.000,0.025,0.022,0.025,0.022,0.022,0.022,0.022,0.022,0.031,0.022,0.022,0.022,0.030,0.022,0.025,0.030,0.025,0.027,0.031,0.030,0.030,0.025,0.022
JB0_7382_0000,A51710,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.051,0.051,0.000,0.000,0.051,0.000,0.000,0.056,0.051,0.056,0.051,0.051,0.051,0.051,0.051,0.092,0.051,0.051,0.051,0.058,0.051,0.063,0.058,0.063,0.069,0.092,0.058,0.058,0.063,0.051
JB0_7382_0000,A51740,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.072,0.072,0.000,0.000,0.072,0.000,0.000,0.069,0.072,0.069,0.072,0.072,0.072,0.072,0.072,0.092,0.072,0.072,0.072,0.052,0.072,0.079,0.052,0.079,0.071,0.092,0.052,0.052,0.079,0.072
JB0_7382_0000,F51550,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.022,0.022,0.000,0.000,0.022,0.000,0.000,0.025,0.022,0.025,0.022,0.022,0.022,0.022,0.022,0.031,0.022,0.022,0.022,0.030,0.022,0.025,0.030,0.025,0.027,0.031,0.030,0.030,0.025,0.022
JB0_7382_0000,F51710,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.051,0.051,0.000,0.000,0.051,0.000,0.000,0.056,0.051,0.056,0.051,0.051,0.051,0.051,0.051,0.092,0.051,0.051,0.051,0.058,0.051,0.063,0.058,0.063,0.069,0.092,0.058,0.058,0.063,0.051
JB0_7382_0000,F51740,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.072,0.072,0.000,0.000,0.072,0.000,0.000,0.069,0.072,0.069,0.072,0.072,0.072,0.072,0.072,0.092,0.072,0.072,0.072,0.052,0.072,0.079,0.052,0.079,0.071,0.092,0.052,0.052,0.079,0.072
JB0_7383_0000,A51550,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.022,0.022,0.000,0.000,0.022,0.000,0.000,0.025,0.022,0.025,0.022,0.022,0.022,0.022,0.022,0.031,0.022,0.022,0.022,0.030,0.022,0.025,0.030,0.025,0.027,0.031,0.030,0.030,0.025,0.022
JB0_7383_0000,A51740,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.072,0.072,0.000,0.000,0.072,0.000,0.000,0.069,0.072,0.069,0.072,0.072,0.072,0.072,0.072,0.092,0.072,0.072,0.072,0.052,0.072,0.079,0.052,0.079,0.071,0.092,0.052,0.052,0.079,0.072
JB0_7383_0000,A51800,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.040,0.040,0.000,0.000,0.040,0.000,0.000,0.033,0.040,0.033,0.040,0.040,0.040,0.040,0.040,0.044,0.040,0.040,0.040,0.049,0.040,0.047,0.049,0.047,0.040,0.044,0.049,0.049,0.047,0.040
JB0_7383_0000,F51740,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.072,0.072,0.000,0.000,0.072,0.000,0.000,0.069,0.072,0.069,0.072,0.072,0.072,0.072,0.072,0.092,0.072,0.072,0.072,0.052,0.072,0.079,0.052,0.079,0.071,0.092,0.052,0.052,0.079,0.072
JB0_7390_0000,A51093,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.033,0.033,0.000,0.000,0.033,0.000,0.000,0.036,0.033,0.036,0.033,0.033,0.033,0.033,0.033,0.047,0.033,0.033,0.033,0.040,0.033,0.049,0.040,0.049,0.038,0.047,0.040,0.040,0.049,0.033
JB0_7390_0000,A51095,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.061,0.061,0.000,0.000,0.061,0.000,0.000,0.060,0.061,0.060,0.061,0.061,0.061,0.061,0.061,0.070,0.061,0.061,0.061,0.065,0.061,0.057,0.065,0.057,0.059,0.070,0.065,0.065,0.057,0.061
JB0_7390_0000,A51181,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.420,0.600,0.000,0.000,0.420,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.075,0.750,0.000,0.000,0.075,0.000,0.000,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.037,0.037,0.000,0.000,0.037,0.000,0.000,0.039,0.037,0.039,0.037,0.037,0.037,0.037,0.037,0.049,0.037,0.037,0.037,0.039,0.037,0.093,0.039,0.093,0.037,0.049,0.039,0.039,0.093,0.037
