river,Nexit,lakeflag,resflag,timestep(min)
EL3_5970_0000,3,0,S,60
EM0_4322_0000,3,0,S,60
EM0_4323_0000,3,0,S,60
EM0_4324_0000,3,0,S,60
EM0_4870_0000,3,0,S,60
EM0_4871_0000,3,0,S,60
EM0_4872_0000,3,0,S,60
EU0_4873_0000,3,0,S,60
EM0_4874_0000,3,0,S,60
EM0_4880_0000,3,0,S,60
EM0_4881_0000,3,0,S,60
EM0_4882_0000,3,0,S,60
EM0_4883_0000,3,0,S,60
EM0_4884_0000,3,0,S,60
EM0_4885_0000,3,0,S,60
EM0_4886_0000,3,0,S,60
EM0_4887_0000,3,0,S,60
EM0_4888_0000,3,0,S,60
EM0_5260_0000,3,0,S,60
EM2_4101_0000,3,0,S,60
EM3_4320_0000,3,0,S,60
EM3_4321_0000,3,0,S,60
EM3_4325_0000,3,0,S,60
EM3_4326_0000,3,0,S,60
EM4_4740_0000,3,0,S,60
EU0_2940_0000,3,0,S,60
EU0_2941_0000,3,0,S,60
EU0_2985_0000,3,0,S,60
EU0_3010_0000,3,0,S,60
EU0_3050_0000,3,0,S,60
EU0_3130_0000,3,0,S,60
EU0_3200_0000,3,0,S,60
EU0_3201_0000,3,0,S,60
EU0_3202_0000,3,0,S,60
EU0_3203_0000,3,0,S,60
EU0_3300_0000,3,0,S,60
EU0_3360_0000,3,0,S,60
EU0_3361_0000,3,0,S,60
EU0_3362_0000,3,0,S,60
EU0_3363_0000,3,0,S,60
EU0_3570_0000,3,0,S,60
EU0_3571_0000,3,0,S,60
EU0_3572_0000,3,0,S,60
EU0_3573_0000,3,0,S,60
EU0_3700_0000,3,0,S,60
EU0_3720_0000,3,0,S,60
EU0_3721_0000,3,0,S,60
EU0_3722_0000,3,0,S,60
EU0_3724_0000,3,0,S,60
EU0_3725_0000,3,0,S,60
EU0_4010_0000,3,0,S,60
EU0_4011_0000,3,0,S,60
EU0_4012_0000,3,0,S,60
EU0_4013_0000,3,0,S,60
EU0_4014_0000,3,0,S,60
EU0_4015_0000,3,0,S,60
EU0_4030_0000,3,0,S,60
EU0_4120_0000,3,0,S,60
EU0_4121_0000,3,0,S,60
EU0_4260_0000,3,0,S,60
EU0_4470_0000,3,0,S,60
EU0_4471_0000,3,0,S,60
EU0_4472_0000,3,0,S,60
EU0_4473_0000,3,0,S,60
EU0_4474_0000,3,0,S,60
EU0_4475_0000,3,0,S,60
EU0_4490_0000,3,0,S,60
EU0_4550_0000,3,0,S,60
EU0_4610_0000,3,0,S,60
EU0_4700_0000,3,0,S,60
EU1_2980_0000,3,0,S,60
EU1_2981_0000,3,0,S,60
EU1_2982_0000,3,0,S,60
EU1_2983_0000,3,0,S,60
EU1_2984_0000,3,0,S,60
GY0_3800_3801,3,0,S,60
GY0_3950_3952,3,0,S,60
GY0_3951_3952,3,0,S,60
GY0_4240_3951,3,1,S,60
GY0_4530_4532,3,0,S,60
GY0_4531_4532,3,0,S,60
GY0_4532_3951,3,0,S,60
GY0_3801_0000,3,0,S,60
GY0_3952_0000,3,0,S,60
JA0_7291_7290,3,1,S,60
JA1_7600_7570,3,0,S,60
JA1_7640_7280,3,0,S,60
JA2_7290_0001,3,0,S,60
JA2_7410_7470,3,0,S,60
JA2_7550_7280,3,0,S,60
JA2_7570_7480,3,0,S,60
JA4_7280_7340,3,0,S,60
JA4_7340_7470,3,0,S,60
JA4_7470_7480,3,0,S,60
JA5_7480_0001,3,1,S,60
JB0_7051_0001,3,1,S,60
JB0_7052_0001,3,1,S,60
JB3_7053_0001,3,1,S,60
JB1_8090_0001,3,1,S,60
JB2_7800_0001,3,1,S,60
JB3_6820_7053,3,0,S,60
JL7_7070_0001,3,0,S,60
JL1_6560_6440,3,0,S,60
JL1_6760_6910,3,0,S,60
JL1_6770_6850,3,0,S,60
JL1_6910_6960,3,0,S,60
JL1_6940_7200,3,0,S,60
JL1_7080_7190,3,0,S,60
JL1_7170_6800,3,0,S,60
JL1_7190_7250,3,0,S,60
JL1_7200_7250,3,0,S,60
JL1_7530_7430,3,0,S,60
JL2_6240_6520,3,0,S,60
JL2_6440_6441,3,0,S,60
JL2_6441_6520,3,1,S,60
JL2_6850_6890,3,0,S,60
JL2_7110_7120,3,0,S,60
JL2_7120_6970,3,0,S,60
JL2_7240_7350,3,0,S,60
JL2_7250_7090,3,0,S,60
JL2_7350_7090,3,0,S,60
JL3_7020_7100,3,0,S,60
JL3_7090_7150,3,0,S,60
JL4_6520_6710,3,0,S,60
JL4_6710_6740,3,0,S,60
JL6_6740_7100,3,0,S,60
JL6_6890_6990,3,0,S,60
JL6_6960_6970,3,0,S,60
JL6_6970_6740,3,0,S,60
JL6_6990_6960,3,0,S,60
JL6_7150_6890,3,0,S,60
JL6_7160_7440,3,0,S,60
JL6_7320_7150,3,0,S,60
JL6_7430_7320,3,0,S,60
JL6_7440_7430,3,0,S,60
JL7_6800_7070,3,0,S,60
JL7_7030_6800,3,0,S,60
JL7_7100_7030,3,0,S,60
JU1_6290_6590,3,0,S,60
JU1_6300_6650,3,0,S,60
JU1_6340_6650,3,0,S,60
JU1_6590_6600,3,0,S,60
JU1_6880_7260,3,0,S,60
JU1_7560_7500,3,0,S,60
JU1_7630_7490,3,0,S,60
JU1_7690_7490,3,0,S,60
JU1_7750_7560,3,0,S,60
JU2_6410_6640,3,0,S,60
JU2_6600_6810,3,0,S,60
JU2_6810_6900,3,0,S,60
JU2_7140_7330,3,0,S,60
JU2_7180_7380,3,0,S,60
JU2_7360_7000,3,0,S,60
JU2_7450_7360,3,0,S,60
JU3_6380_6900,3,0,S,60
JU3_6640_6790,3,0,S,60
JU3_6650_7300,3,0,S,60
JU3_6790_7260,3,0,S,60
JU3_6900_6950,3,1,V,60
JU3_6950_7330,3,0,S,60
JU3_7400_7510,3,0,S,60
JU3_7490_7400,3,0,S,60
JU4_7000_7300,3,0,S,60
JU4_7260_7380,3,0,S,60
JU4_7330_7000,3,0,S,60
JU4_7380_7160,3,0,S,60
JU5_7300_7510,3,0,S,60
JU5_7420_7160,3,0,S,60
JU5_7500_7420,3,0,S,60
JU5_7510_7500,3,0,S,60
JA5_7460_0000,3,0,S,60
JA5_7520_0000,3,0,S,60
JB0_7050_0000,3,0,S,60
JB0_7071_0000,3,0,S,60
JB0_7072_0000,3,0,S,60
JB0_7073_0000,3,0,S,60
JB0_7074_0000,3,0,S,60
JB0_7270_0000,3,0,S,60
JB0_7390_0000,3,0,S,60
JB0_7580_0000,3,0,S,60
JB0_7660_0000,3,0,S,60
JB0_7760_0000,3,0,S,60
MN0_8300_0001,3,0,S,60
MN1_7590_7860,3,0,S,60
MN1_7620_7710,3,0,S,60
MN1_7730_8160,3,0,S,60
MN1_7990_8100,3,0,S,60
MN2_7720_7830,3,0,S,60
MN2_7830_7950,3,0,S,60
MN2_8100_8190,3,0,S,60
MN2_8250_8190,3,0,S,60
MN2_8530_8510,3,0,S,60
MN3_7540_7680,3,0,S,60
MN3_7680_7860,3,0,S,60
MN3_7770_7930,3,0,S,60
MN3_7860_8080,3,0,S,60
MN3_7930_8010,3,0,S,60
MN3_8010_7950,3,0,S,60
MN3_8190_8260,3,0,S,60
MN4_7710_8161,3,0,S,60
MN4_7810_8080,3,0,S,60
MN4_7950_7710,3,0,S,60
MN4_8080_8110,3,0,S,60
MN4_8260_8400,3,0,S,60
MN4_8400_8380,3,0,S,60
MN4_8510_8380,3,0,S,60
MN5_8161_8160,3,0,S,60
MN5_8230_8161,3,0,S,60
MN0_7790_0000,3,0,S,60
MN0_7870_0000,3,0,S,60
MN0_8040_0000,3,0,S,60
MN1_8240_0000,3,0,S,60
MN2_7850_0000,3,0,S,60
MN3_8150_0000,3,0,S,60
MN4_8110_0000,3,0,S,60
MN4_8380_0000,3,0,S,60
MN5_8160_0000,3,0,S,60
NR1_7880_8050,3,0,S,60
NR1_8030_8051,3,0,S,60
NR1_8820_8760,3,0,S,60
NR1_8960_8870,3,0,S,60
NR1_9030_9080,3,0,S,60
NR1_9150_9050,3,0,S,60
NR2_8210_8180,3,0,S,60
NR2_8600_8700,3,0,S,60
NR2_9250_9170,3,0,S,60
NR3_8290_8170,3,0,S,60
NR3_8420_8430,3,0,S,60
NR3_8430_7820,3,0,S,60
NR3_8690_8500,3,0,S,60
NR3_8740_8500,3,0,S,60
NR3_9170_9130,3,0,S,60
NR3_9190_9170,3,0,S,60
NR3_9240_9130,3,0,S,60
NR3_9310_9240,3,0,S,60
NR4_9130_9080,3,0,S,60
NR5_8700_8640,3,0,S,60
NR5_8760_8640,3,0,S,60
NR5_8870_8760,3,0,S,60
NR5_9050_8870,3,0,S,60
NR5_9080_9050,3,0,S,60
NR6_7820_7960,3,0,S,60
NR6_7960_8050,3,0,S,60
NR6_8050_8051,3,0,S,60
NR6_8051_8000,3,0,S,60
NR6_8170_7960,3,0,S,60
NR6_8180_8051,3,0,S,60
NR6_8500_7820,3,1,V,60
NR6_8640_8500,3,0,S,60
NR6_8000_0000,3,0,S,60
NR0_8310_0000,3,0,S,60
OD6_8621_8470,3,0,S,60
OD3_8931_9140,3,0,S,60
OD1_8910_8930,3,0,S,60
OD1_9270_9110,3,0,S,60
OD2_8560_8630,3,1,V,60
OD2_8670_8890,3,0,S,60
OD2_8830_8710,3,0,S,60
OD2_8840_9020,3,0,S,60
OD2_8920_8830,3,1,V,60
OD3_8340_8520,3,0,S,60
OD3_8520_8621,3,0,S,60
OD3_8630_8720,3,0,S,60
OD3_8710_8470,3,0,S,60
OD3_8720_8900,3,0,S,60
OD3_8850_8931,3,0,S,60
OD3_8930_8931,3,0,S,60
OD3_9020_9110,3,0,S,60
OD4_8990_8900,3,0,S,60
OD4_9110_9140,3,0,S,60
OD4_9140_8990,3,0,S,60
OD5_8770_8780,3,0,S,60
OD5_8780_8660,3,0,S,60
OD5_8890_8770,3,0,S,60
OD5_8900_8770,3,0,S,60
OD5_8940_8780,3,0,S,60
OD6_8660_8621,3,0,S,60
OR1_7700_7980,3,0,S,60
OR1_8280_8020,3,0,S,60
OR1_8320_8271,3,0,S,60
OR2_7610_7780,3,0,S,60
OR2_7650_8070,3,0,S,60
OR2_7670_7840,3,0,S,60
OR2_7780_7890,3,0,S,60
OR2_7840_7970,3,0,S,60
OR2_7900_7740,3,0,S,60
OR2_8020_8130,3,0,S,60
OR2_8070_8120,3,0,S,60
OR2_8130_7900,3,0,S,60
OR2_8450_8490,3,0,S,60
OR2_8460_8271,3,0,S,60
OR3_7740_8271,3,0,S,60
OR4_8120_7890,3,0,S,60
OR4_8271_8120,3,1,S,60
OR5_7890_7970,3,0,S,60
OR5_7910_8410,3,0,S,60
OR5_7970_8200,3,0,S,60
OR5_7980_8200,3,0,S,60
OR5_8200_8370,3,0,S,60
OR5_8370_8410,3,0,S,60
OR5_8410_8470,3,0,S,60
OR7_8470_8490,3,1,V,60
OR7_8490_0000,3,0,S,60
PL0_4510_0001,3,0,S,60
PL0_5000_0001,3,0,S,60
PL0_5010_5130,3,0,S,60
PL0_5070_0001,3,0,S,60
PL0_5141_5140,3,1,S,60
PL3_5250_0001,3,1,S,60
PL0_5490_0001,3,0,S,60
PL0_5510_0001,3,0,S,60
PL0_5530_5710,3,0,S,60
PL0_5540_5490,3,0,S,60
PL0_5710_0001,3,0,S,60
PL0_5720_0001,3,0,S,60
PL0_5730_5690,3,0,S,60
PL0_5750_0001,3,0,S,60
PL0_5830_0001,3,0,S,60
PL1_4460_4780,3,0,S,60
PL1_4540_0001,3,0,S,60
PL1_4780_0001,3,0,S,60
PL1_5130_0001,3,0,S,60
PL1_5230_0001,3,0,S,60
PL1_5370_5470,3,0,S,60
PL1_5690_0001,3,0,S,60
PL1_5910_0001,3,0,S,60
PL2_4970_5250,3,0,S,60
PL2_5140_5360,3,0,S,60
PL2_5300_5630,3,0,S,60
PL2_5470_5360,3,0,S,60
PL2_5630_0001,3,0,S,60
PL3_5360_5250,3,0,S,60
PM0_4640_4820,3,0,S,60
PM1_3120_3400,3,0,S,60
PM1_3450_3400,3,0,S,60
PM1_3510_4000,3,0,S,60
PM1_3710_4040,3,0,S,60
PM1_4000_4290,3,0,S,60
PM1_4250_4500,3,0,S,60
PM1_4430_4200,3,0,S,60
PM1_4500_4580,3,0,S,60
PM2_2860_3040,3,0,S,60
PM2_3400_3340,3,0,S,60
PM2_4860_4670,3,0,S,60
PM3_3040_3340,3,0,S,60
PM3_4660_4620,3,0,S,60
PM3_4670_4660,3,0,S,60
PM4_3340_3341,3,0,S,60
PM4_3341_4040,3,0,S,60
PM4_4040_4410,3,0,S,60
PM7_4150_4290,3,0,S,60
PM7_4200_4410,3,0,S,60
PM7_4290_4200,3,0,S,60
PM7_4410_4620,3,0,S,60
PM7_4580_4820,3,0,S,60
PM7_4620_4580,3,0,S,60
PM7_4820_0001,3,0,S,60
PS0_6150_6160,3,0,S,60
PS0_6160_6161,3,0,S,60
PS1_4790_4830,3,0,S,60
PS1_4830_5080,3,0,S,60
PS2_5550_5560,3,0,S,60
PS2_5560_5100,3,0,S,60
PS2_6420_6360,3,0,S,60
PS2_6490_6420,3,0,S,60
PS2_6660_6490,3,0,S,60
PS2_6730_6660,3,0,S,60
PS3_5100_5080,3,0,S,60
PS3_5990_6161,3,0,S,60
PS3_6161_6280,3,0,S,15
PS3_6280_6230,3,0,S,60
PS3_6460_6230,3,0,S,60
PS4_5080_4380,3,0,S,60
PS4_5840_5240,3,0,S,60
PS4_6230_6360,3,0,S,60
PS4_6360_5840,3,0,S,60
PS5_4370_4150,3,0,S,60
PS5_4380_4370,3,0,S,60
PS5_5200_4380,3,0,S,60
PS5_5240_5200,3,0,S,60
PU0_3000_3090,3,0,S,60
PU0_3601_3602,3,0,S,60
PU0_3611_3530,3,0,S,60
PU0_3751_3752,3,0,S,60
PU0_3871_3690,3,0,S,60
PU0_5620_5380,3,0,S,60
PU0_6080_5620,3,0,S,60
PU1_3030_3440,3,0,S,60
PU1_3100_3690,3,0,S,60
PU1_3170_3580,3,0,S,60
PU1_3580_3780,3,0,S,60
PU1_3850_4190,3,0,S,60
PU1_3940_3970,3,0,S,60
PU1_4190_4300,3,1,V,60
PU1_4300_4440,3,0,S,60
PU1_4760_4451,3,0,S,60
PU1_4840_4760,3,1,S,60
PU1_5380_5050,3,0,S,60
PU1_5520_5210,3,0,S,60
PU1_5820_5380,3,0,S,60
PU2_2790_3290,3,0,S,60
PU2_2840_3080,3,0,S,60
PU2_3080_3640,3,0,S,60
PU2_3090_4050,3,0,S,60
PU2_3140_3680,3,0,S,60
PU2_3180_3370,3,0,S,60
PU2_3370_4020,3,0,S,60
PU2_3630_3590,3,0,S,60
PU2_3770_3600,3,0,S,60
PU2_3900_3750,3,0,S,60
PU2_4050_4180,3,0,S,60
PU2_4160_3930,3,0,S,60
PU2_4220_3900,3,0,S,60
PU2_4340_3860,3,0,S,60
PU2_4360_4160,3,0,S,60
PU2_4720_4750,3,0,S,60
PU2_4730_4220,3,0,S,60
PU2_4750_4451,3,0,S,60
PU2_5190_4310,3,0,S,60
PU2_5700_5210,3,0,S,60
PU2_6050_5190,3,0,S,60
PU3_2510_3290,3,0,S,60
PU3_3290_3390,3,0,S,60
PU3_3390_3730,3,0,S,60
PU3_3680_3890,3,0,S,60
PU3_3860_3610,3,0,S,60
PU3_4280_3860,3,0,S,60
PU3_4450_4440,3,0,S,60
PU3_5210_5050,3,0,S,60
PU4_3780_3930,3,0,S,60
PU4_3890_3990,3,0,S,60
PU4_3970_3890,3,0,S,60
PU4_3990_3780,3,0,S,60
PU4_4210_4170,3,0,S,60
PU4_4310_4210,3,0,S,60
PU4_4440_3970,3,0,S,60
PU4_5050_4310,3,0,S,60
PU5_3930_4170,3,0,S,60
PU5_4170_4020,3,0,S,60
PU6_3440_3590,3,0,S,60
PU6_3530_3440,3,0,S,60
PU6_3590_3640,3,0,S,60
PU6_3600_3602,3,0,S,60
PU6_3602_3730,3,0,S,60
PU6_3610_3530,3,0,S,60
PU6_3640_3600,3,0,S,60
PU6_3690_3610,3,0,S,60
PU6_3730_3750,3,0,S,60
PU6_3750_3752,3,0,S,60
PU6_3752_4080,3,0,S,60
PU6_3870_3690,3,0,S,60
PU6_4020_3870,3,0,S,60
PU6_4080_4180,3,0,S,60
PU6_4180_4150,3,0,S,60
PL0_4961_0000,3,0,S,60
PL0_5090_0000,3,0,S,60
PL0_5131_0000,3,0,S,60
PL0_5251_0000,3,0,S,60
PL0_5290_0000,3,0,S,60
PL0_5390_0000,3,0,S,60
PL0_5440_0000,3,0,S,60
PL0_5450_0000,3,0,S,60
PL0_5491_0000,3,0,S,60
PL0_5580_0000,3,0,S,60
PL0_5581_0000,3,0,S,60
PL0_5582_0000,3,0,S,60
PL0_5583_0000,3,0,S,60
PL0_5584_0000,3,0,S,60
PL0_5585_0000,3,0,S,60
PL0_5670_0000,3,0,S,60
PL0_5671_0000,3,0,S,60
PL0_5672_0000,3,0,S,60
PL0_5790_0000,3,0,S,60
PL0_5850_0000,3,0,S,60
PL0_5860_0000,3,0,S,60
PL0_5900_0000,3,0,S,60
PL0_5920_0000,3,0,S,60
PL0_5930_0000,3,0,S,60
PL0_5950_0000,3,0,S,60
PL0_5951_0000,3,0,S,60
PL0_5952_0000,3,0,S,60
PL0_5960_0000,3,0,S,60
PL0_5961_0000,3,0,S,60
PL0_5962_0000,3,0,S,60
PL0_5980_0000,3,0,S,60
PL0_5981_0000,3,0,S,60
PL0_5982_0000,3,0,S,60
PL0_5983_0000,3,0,S,60
PL0_6020_0000,3,0,S,60
PL0_6060_0000,3,0,S,60
PL0_6100_0000,3,0,S,60
PL0_6110_0000,3,0,S,60
PL0_6130_0000,3,0,S,60
PL0_6140_0000,3,0,S,60
PL0_6270_0000,3,0,S,60
PL1_5060_0000,3,0,S,60
PL1_5061_0000,3,0,S,60
PL2_4810_0000,3,0,S,60
PL2_5800_0000,3,0,S,60
PL7_4910_0000,3,0,S,60
PL7_4940_0000,3,0,S,60
PL7_4960_0000,3,0,S,60
PL7_4980_0000,3,0,S,60
PL2_4945_0004,3,0,S,60
RL0_6540_0001,3,0,S,60
RL1_6180_0001,3,0,S,60
RU2_5220_5640,3,0,S,60
RU2_5500_5610,3,0,S,60
RU2_5810_5610,3,0,S,60
RU2_5940_6200,3,0,S,60
RU2_6090_6220,3,0,S,60
RU2_6200_6170,3,0,S,60
RU2_6220_6170,3,0,S,60
RU3_5610_5640,3,0,S,60
RU3_6170_6040,3,0,S,60
RU4_5640_6030,3,0,S,60
RU4_6040_6030,3,0,S,60
RU5_6030_0001,3,0,S,60
RL0_6450_0000,3,0,S,60
RL0_6500_0000,3,0,S,60
RL0_6501_0000,3,0,S,60
RL0_6530_0000,3,0,S,60
RL1_6322_0000,3,0,S,60
RL5_6070_0000,3,0,S,60
RL5_6320_0000,3,0,S,60
RL5_6321_0000,3,0,S,60
SJ1_2280_2450,3,0,S,60
SJ2_1900_1930,3,0,S,60
SJ2_2110_2170,3,0,S,60
SJ2_2150_2130,3,0,J,60
SJ2_2500_2450,3,0,S,60
SJ2_2530_2820,3,0,S,60
SJ2_2570_2660,3,0,S,60
SJ2_2580_2500,3,0,S,60
SJ2_2820_2740,3,0,S,60
SJ2_2900_2740,3,0,S,60
SJ3_1980_2060,3,0,S,60
SJ3_2040_1980,3,0,S,60
SJ3_2160_2170,3,0,S,60
SJ3_2170_1970,3,0,S,60
SJ3_2230_2060,3,0,S,60
SJ3_2250_2230,3,0,S,60
SJ3_2450_2120,3,0,S,60
SJ4_2010_2210,3,0,S,60
SJ4_2060_2010,3,1,V,60
SJ4_2340_2210,3,0,S,60
SJ4_2360_2340,3,1,V,60
SJ4_2660_2360,3,0,S,60
SJ4_2740_2660,3,0,S,60
SJ5_2120_1930,3,0,S,60
SJ5_2210_2320,3,0,S,60
SJ5_2320_2120,3,0,S,60
SJ6_1930_1970,3,0,S,60
SJ6_1970_2130,3,0,J,60
SJ6_2130_2050,3,0,S,60
SL0_2180_2220,3,0,S,60
SL0_2220_2140,3,0,S,60
SL0_2721_2720,3,0,S,60
SL0_2831_2830,3,1,S,60
SL1_1700_1780,3,0,S,60
SL1_1730_1700,3,0,S,60
SL1_1790_1840,3,0,S,60
SL1_2000_2090,3,0,S,60
SL1_2190_2350,3,0,S,60
SL1_2390_2420,3,0,S,60
SL1_2670_2370,3,0,S,60
SL1_2760_2730,3,0,S,60
SL1_2770_2730,3,0,S,60
SL1_2830_2760,3,0,S,60
SL2_1670_1880,3,0,S,60
SL2_1810_2030,3,0,S,60
SL2_1850_1990,3,0,S,60
SL2_1990_2070,3,0,S,60
SL2_2070_2090,3,0,S,60
SL2_2200_2350,3,0,S,60
SL2_2300_2520,3,0,S,60
SL2_2410_2700,3,0,S,60
SL2_2480_0001,3,0,S,60
SL2_2540_2370,3,0,S,60
SL2_2750_2720,3,0,S,60
SL2_2910_3060,3,0,S,60
SL2_3060_0001,3,0,S,60
SL3_1710_1740,3,0,S,60
SL3_1740_1840,3,0,S,60
SL3_1840_1880,3,0,S,60
SL3_1960_2080,3,0,S,60
SL3_2260_2050,3,0,S,60
SL3_2290_2260,3,0,S,60
SL3_2350_2470,3,0,S,60
SL3_2400_2440,3,0,S,60
SL3_2420_2700,3,0,S,60
SL3_2440_2380,3,0,S,60
SL3_2460_2430,3,0,S,60
SL3_2470_2420,3,0,S,60
SL3_2550_2490,3,0,S,60
SL3_2730_2550,3,0,S,60
SL4_2090_2100,3,0,S,60
SL4_2100_2140,3,0,S,60
SL4_2140_2240,3,0,S,60
SL4_2240_2310,3,0,S,60
SL4_2330_2270,3,0,J,60
SL4_2370_2330,3,0,S,60
SL8_1760_1780,3,0,S,60
SL8_1780_1880,3,0,S,60
SL8_1880_2030,3,0,S,60
SL8_2030_2080,3,0,S,60
SL8_2080_2050,3,0,S,60
SL9_2050_2270,3,0,S,60
SL9_2270_2380,3,0,S,60
SL9_2310_2430,3,0,S,60
SL9_2380_2310,3,0,S,60
SL9_2430_2490,3,0,S,60
SL9_2490_2520,3,0,J,60
SL9_2520_2700,3,1,J,60
SL9_2700_2720,3,1,J,60
SL9_2720_0001,4,1,C,60
SU1_0050_0090,3,0,S,60
SU1_0060_0190,3,0,S,60
SU1_0080_0210,3,0,S,60
SU1_0200_0270,3,0,S,60
SU1_0330_0560,3,0,S,60
SU1_0380_0400,3,0,S,60
SU1_0390_0560,3,0,S,60
SU1_0410_0480,3,0,S,60
SU1_0660_0710,3,0,S,60
SU1_0820_0740,3,0,S,60
SU1_0840_0831,3,0,S,60
SU1_0940_0900,3,0,S,60
SU1_1480_1500,3,0,S,60
SU1_1630_1610,3,0,S,60
SU2_0020_0140,3,0,S,60
SU2_0030_0140,3,1,V,60
SU2_0040_0180,3,0,S,60
SU2_0070_0090,3,0,S,60
SU2_0100_0230,3,0,S,60
SU2_0110_0240,3,0,S,60
SU2_0120_0260,3,0,S,60
SU2_0130_0250,3,0,S,60
SU2_0150_0220,3,0,S,60
SU2_0160_0260,3,0,S,60
SU2_0210_0300,3,0,S,60
SU2_0280_0430,3,0,S,60
SU2_0290_0291,3,0,S,60
SU2_0291_0320,3,1,V,60
SU2_0320_0340,3,0,S,60
SU2_0360_0460,3,0,S,60
SU2_0440_0550,3,0,S,60
SU2_0450_0720,3,0,S,60
SU2_0470_0590,3,0,S,60
SU2_0510_0570,3,0,S,60
SU2_0560_0590,3,0,S,60
SU2_0570_0580,3,0,S,60
SU2_0620_0580,3,0,S,60
SU2_0640_0630,3,0,S,60
SU2_0670_0810,3,0,S,60
SU2_0680_0610,3,0,S,60
SU2_0700_0860,3,0,S,60
SU2_0740_0741,3,0,S,60
SU2_0741_0690,3,1,W,60
SU2_0760_0960,3,0,S,60
SU2_0780_0710,3,0,S,60
