riverseg,landseg,area(acres)***
DE0_2590_0000,N10003,6568.212946
DE0_2600_0000,N10003,14681.2705
DE0_2610_0000,N10003,9215.431591
DE0_2640_0000,N10003,13360.85142
DE0_2690_0000,N10003,28958.0568
DE0_2710_0000,N10003,41889.04379
DE0_2710_0000,N24015,5226.148859
DE0_2800_0000,N10003,3648.589919
DE0_2850_0000,N10003,6059.32415
DE0_2870_0000,N10003,327.7759925
DE0_2920_0000,N10003,6605.001969
DE0_2960_0000,N10003,6337.417056
DE0_2990_0000,N10003,25629.0424
DE0_3110_0000,N10003,26895.92181
DE0_3260_0000,N10003,16614.27745
DE0_3280_0000,N10003,469.210002
DE0_3310_0000,N10003,2206.325938
DE0_3380_0000,N10001,17046.18966
DE0_3380_0000,N10003,19407.02926
DE0_3410_0000,N10001,44268.91939
DE0_3790_0000,N10001,32618.52908
DE0_3791_0001,N10001,20262.13284
DE0_3840_0000,N10001,12431.81952
DE0_4140_0000,N10001,48144.16413
DE0_4141_0001,N10001,12755.37098
DE0_4230_0000,N10001,18867.71858
DE0_4230_0000,N10005,18999.41798
DE0_4231_0001,N10001,2430.033896
DE0_4350_0000,N10005,28479.10212
DE0_4520_0000,N10005,60909.18763
DE0_4570_0000,N10005,8501.037993
DE0_4680_0000,N10005,35015.97584
DE0_4800_0000,N10005,53740.9068
DE0_4850_0000,N10005,44320.01582
DE0_4990_0000,N10005,9816.93555
DE0_5020_0000,N10005,19103.75221
DE0_5020_0000,N24047,5996.371061
DE0_5021_0000,N10005,2068.900876
DE0_5170_0000,N10005,5367.71197
DE0_5170_0000,N24047,31207.90892
DE0_5410_0000,N24047,22273.22886
DE0_5420_0000,N24047,5805.713899
DE0_5650_0000,N24047,36252.64807
DE0_5650_0000,N51001,33003.53557
DE0_6210_0000,N51001,8095.872799
DE0_6310_0000,N51001,50785.54283
DE0_6630_0000,N51001,36877.89867
DE0_6630_0000,N51131,30661.95115
DE0_6980_0000,N51131,32050.66401
DE0_7130_0000,N51131,31633.44244
EL0_4560_4562,N10001,8087.508661
EL0_4560_4562,N10005,18557.55452
EL0_4561_4562,N10005,19449.41034
EL0_4562_0001,N10005,5911.326175
EL0_4591_0000,N10005,729.7999963
EL0_4591_0000,N24011,16063.81579
EL0_4591_0000,N24019,37452.58878
EL0_4592_0000,N24019,8935.058776
EL0_4593_0000,N24019,5726.169731
EL0_4593_0000,N24045,3773.100081
EL0_4594_0000,N10005,6009.05507
EL0_4594_0000,N24045,12029.29399
EL0_4595_0000,N24045,13454.13475
EL0_4596_0000,N24045,3723.239962
EL0_4597_0000,N10005,1231.848058
EL0_4597_0000,N24045,9813.132788
EL0_4598_0000,N24019,1300.311045
EL0_4598_0000,N24045,4096.816813
EL0_4631_0000,N10005,24971.30015
EL0_4632_0000,N10005,40386.49274
EL0_4633_0000,N10005,75942.24117
EL0_4633_0000,N24045,1744.021956
EL0_4892_0000,N24019,873.5580151
EL0_5040_0000,N24045,14139.43296
EL0_5151_0000,N24019,45193.24128
EL0_5262_0000,N24019,386.3869898
EL0_5271_0000,N24047,19410.20859
EL0_5280_0000,N24019,34544.0486
EL0_5281_0000,N24019,4814.870104
EL0_5282_0000,N24019,733.1140231
EL0_5283_0000,N24019,871.6980229
EL0_5284_0000,N24019,1890.226923
EL0_5285_0000,N24019,292.5870056
EL0_5400_0001,N10005,1362.54101
EL0_5400_0001,N24045,23199.37127
EL0_5590_0000,N24019,3417.455946
EL0_5760_0000,N24045,28745.16407
EL0_5761_0000,N24039,2791.874943
EL0_5761_0000,N24045,19934.53491
EL0_5762_0000,N24039,11719.58322
