RiverSegment,UpStreamSeg
EU2_3520_0001,EU2_3520_0001
GY0_3800_3801,GY0_3800_3801
GY0_3801_0000,GY0_3801_0000
GY0_3801_0000,GY0_3800_3801
GY0_3950_3952,GY0_3950_3952
GY0_3951_3952,GY0_3951_3952
GY0_3951_3952,GY0_4240_3951
GY0_3951_3952,GY0_4532_3951
GY0_3951_3952,GY0_4530_4532
GY0_3951_3952,GY0_4531_4532
GY0_3952_0000,GY0_3952_0000
GY0_3952_0000,GY0_3950_3952
GY0_3952_0000,GY0_3951_3952
GY0_3952_0000,GY0_4240_3951
GY0_3952_0000,GY0_4532_3951
GY0_3952_0000,GY0_4530_4532
GY0_3952_0000,GY0_4531_4532
GY0_4240_3951,GY0_4240_3951
GY0_4530_4532,GY0_4530_4532
GY0_4531_4532,GY0_4531_4532
GY0_4532_3951,GY0_4532_3951
GY0_4532_3951,GY0_4530_4532
GY0_4532_3951,GY0_4531_4532
JA0_7291_7290,JA0_7291_7290
JA1_7600_7570,JA1_7600_7570
JA1_7640_7280,JA1_7640_7280
JA2_7290_0001,JA2_7290_0001
JA2_7290_0001,JA0_7291_7290
JA2_7410_7470,JA2_7410_7470
JA2_7550_7280,JA2_7550_7280
JA2_7570_7480,JA2_7570_7480
JA2_7570_7480,JA1_7600_7570
JA4_7280_7340,JA4_7280_7340
JA4_7280_7340,JA1_7640_7280
JA4_7280_7340,JA2_7550_7280
JA4_7340_7470,JA4_7340_7470
JA4_7340_7470,JA4_7280_7340
JA4_7340_7470,JA1_7640_7280
JA4_7340_7470,JA2_7550_7280
JA4_7470_7480,JA4_7470_7480
JA4_7470_7480,JA2_7410_7470
JA4_7470_7480,JA4_7340_7470
JA4_7470_7480,JA4_7280_7340
JA4_7470_7480,JA1_7640_7280
JA4_7470_7480,JA2_7550_7280
JA5_7460_0000,JA5_7460_0000
JA5_7480_0001,JA5_7480_0001
JA5_7480_0001,JA2_7570_7480
JA5_7480_0001,JA1_7600_7570
JA5_7480_0001,JA4_7470_7480
JA5_7480_0001,JA2_7410_7470
JA5_7480_0001,JA4_7340_7470
JA5_7480_0001,JA4_7280_7340
JA5_7480_0001,JA1_7640_7280
JA5_7480_0001,JA2_7550_7280
JA5_7520_0000,JA5_7520_0000
JB0_7050_0000,JB0_7050_0000
JB0_7051_0001,JB0_7051_0001
JB0_7052_0001,JB0_7052_0001
JB0_7071_0000,JB0_7071_0000
JB0_7072_0000,JB0_7072_0000
JB0_7073_0000,JB0_7073_0000
JB0_7074_0000,JB0_7074_0000
JB0_7075_0000,JB0_7075_0000
JB0_7076_0000,JB0_7076_0000
JB0_7270_0000,JB0_7270_0000
JB0_7271_0000,JB0_7271_0000
JB0_7381_0000,JB0_7381_0000
JB0_7382_0000,JB0_7382_0000
JB0_7383_0000,JB0_7383_0000
JB0_7390_0000,JB0_7390_0000
JB0_7391_0000,JB0_7391_0000
JB0_7392_0000,JB0_7392_0000
JB0_7393_0000,JB0_7393_0000
JB0_7394_0000,JB0_7394_0000
JB0_7395_0000,JB0_7395_0000
JB0_7396_0000,JB0_7396_0000
JB0_7397_0000,JB0_7397_0000
JB0_7398_0000,JB0_7398_0000
JB0_7399_0000,JB0_7399_0000
JB0_7580_0000,JB0_7580_0000
JB0_7660_0000,JB0_7660_0000
JB0_7661_0000,JB0_7661_0000
JB0_7662_0000,JB0_7662_0000
JB0_7760_0000,JB0_7760_0000
JB1_8090_0001,JB1_8090_0001
JB2_7800_0001,JB2_7800_0001
JB3_6820_7053,JB3_6820_7053
JB3_7053_0001,JB3_7053_0001
JB3_7053_0001,JB3_6820_7053
JL1_6560_6440,JL1_6560_6440
JL1_6760_6910,JL1_6760_6910
JL1_6770_6850,JL1_6770_6850
JL1_6910_6960,JL1_6910_6960
JL1_6910_6960,JL1_6760_6910
JL1_6940_7200,JL1_6940_7200
JL1_7080_7190,JL1_7080_7190
JL1_7170_6800,JL1_7170_6800
JL1_7190_7250,JL1_7190_7250
JL1_7190_7250,JL1_7080_7190
JL1_7200_7250,JL1_7200_7250
JL1_7200_7250,JL1_6940_7200
JL1_7530_7430,JL1_7530_7430
JL2_6240_6520,JL2_6240_6520
JL2_6440_6441,JL2_6440_6441
JL2_6440_6441,JL1_6560_6440
JL2_6441_6520,JL2_6441_6520
JL2_6441_6520,JL2_6440_6441
JL2_6441_6520,JL1_6560_6440
JL2_6850_6890,JL2_6850_6890
JL2_6850_6890,JL1_6770_6850
JL2_7110_7120,JL2_7110_7120
JL2_7120_6970,JL2_7120_6970
JL2_7120_6970,JL2_7110_7120
JL2_7240_7350,JL2_7240_7350
JL2_7250_7090,JL2_7250_7090
JL2_7250_7090,JL1_7190_7250
JL2_7250_7090,JL1_7080_7190
JL2_7250_7090,JL1_7200_7250
JL2_7250_7090,JL1_6940_7200
JL2_7350_7090,JL2_7350_7090
JL2_7350_7090,JL2_7240_7350
JL3_7020_7100,JL3_7020_7100
JL3_7090_7150,JL3_7090_7150
JL3_7090_7150,JL2_7250_7090
JL3_7090_7150,JL1_7190_7250
JL3_7090_7150,JL1_7080_7190
JL3_7090_7150,JL1_7200_7250
JL3_7090_7150,JL1_6940_7200
JL3_7090_7150,JL2_7350_7090
JL3_7090_7150,JL2_7240_7350
JL4_6520_6710,JL4_6520_6710
JL4_6520_6710,JL2_6240_6520
JL4_6520_6710,JL2_6441_6520
JL4_6520_6710,JL2_6440_6441
JL4_6520_6710,JL1_6560_6440
JL4_6710_6740,JL4_6710_6740
JL4_6710_6740,JL4_6520_6710
JL4_6710_6740,JL2_6240_6520
JL4_6710_6740,JL2_6441_6520
JL4_6710_6740,JL2_6440_6441
JL4_6710_6740,JL1_6560_6440
JL6_6740_7100,JL6_6740_7100
JL6_6740_7100,JL4_6710_6740
JL6_6740_7100,JL4_6520_6710
JL6_6740_7100,JL2_6240_6520
JL6_6740_7100,JL2_6441_6520
JL6_6740_7100,JL2_6440_6441
JL6_6740_7100,JL1_6560_6440
JL6_6740_7100,JL6_6970_6740
JL6_6740_7100,JL2_7120_6970
JL6_6740_7100,JL2_7110_7120
JL6_6740_7100,JL6_6960_6970
JL6_6740_7100,JL1_6910_6960
JL6_6740_7100,JL1_6760_6910
JL6_6740_7100,JL6_6990_6960
JL6_6740_7100,JL6_6890_6990
JL6_6740_7100,JL2_6850_6890
JL6_6740_7100,JL1_6770_6850
JL6_6740_7100,JL6_7150_6890
JL6_6740_7100,JL3_7090_7150
JL6_6740_7100,JL2_7250_7090
JL6_6740_7100,JL1_7190_7250
JL6_6740_7100,JL1_7080_7190
JL6_6740_7100,JL1_7200_7250
JL6_6740_7100,JL1_6940_7200
JL6_6740_7100,JL2_7350_7090
JL6_6740_7100,JL2_7240_7350
JL6_6740_7100,JL6_7320_7150
JL6_6740_7100,JL6_7430_7320
JL6_6740_7100,JL1_7530_7430
JL6_6740_7100,JL6_7440_7430
JL6_6740_7100,JL6_7160_7440
JL6_6740_7100,JU4_7380_7160
JL6_6740_7100,JU2_7180_7380
JL6_6740_7100,JU4_7260_7380
JL6_6740_7100,JU1_6880_7260
JL6_6740_7100,JU3_6790_7260
JL6_6740_7100,JU3_6640_6790
JL6_6740_7100,JU2_6410_6640
JL6_6740_7100,JU5_7420_7160
JL6_6740_7100,JU5_7500_7420
JL6_6740_7100,JU1_7560_7500
JL6_6740_7100,JU1_7750_7560
JL6_6740_7100,JU5_7510_7500
JL6_6740_7100,JU3_7400_7510
JL6_6740_7100,JU3_7490_7400
JL6_6740_7100,JU1_7630_7490
JL6_6740_7100,JU1_7690_7490
JL6_6740_7100,JU5_7300_7510
JL6_6740_7100,JU3_6650_7300
JL6_6740_7100,JU1_6300_6650
JL6_6740_7100,JU1_6340_6650
JL6_6740_7100,JU4_7000_7300
JL6_6740_7100,JU2_7360_7000
JL6_6740_7100,JU2_7450_7360
JL6_6740_7100,JU4_7330_7000
JL6_6740_7100,JU2_7140_7330
JL6_6740_7100,JU3_6950_7330
JL6_6740_7100,JU3_6900_6950
JL6_6740_7100,JU2_6810_6900
JL6_6740_7100,JU2_6600_6810
JL6_6740_7100,JU1_6590_6600
JL6_6740_7100,JU1_6290_6590
JL6_6740_7100,JU3_6380_6900
JL6_6890_6990,JL6_6890_6990
JL6_6890_6990,JL2_6850_6890
JL6_6890_6990,JL1_6770_6850
JL6_6890_6990,JL6_7150_6890
JL6_6890_6990,JL3_7090_7150
JL6_6890_6990,JL2_7250_7090
JL6_6890_6990,JL1_7190_7250
JL6_6890_6990,JL1_7080_7190
JL6_6890_6990,JL1_7200_7250
JL6_6890_6990,JL1_6940_7200
JL6_6890_6990,JL2_7350_7090
JL6_6890_6990,JL2_7240_7350
JL6_6890_6990,JL6_7320_7150
JL6_6890_6990,JL6_7430_7320
JL6_6890_6990,JL1_7530_7430
JL6_6890_6990,JL6_7440_7430
JL6_6890_6990,JL6_7160_7440
JL6_6890_6990,JU4_7380_7160
JL6_6890_6990,JU2_7180_7380
JL6_6890_6990,JU4_7260_7380
JL6_6890_6990,JU1_6880_7260
JL6_6890_6990,JU3_6790_7260
JL6_6890_6990,JU3_6640_6790
JL6_6890_6990,JU2_6410_6640
JL6_6890_6990,JU5_7420_7160
JL6_6890_6990,JU5_7500_7420
JL6_6890_6990,JU1_7560_7500
JL6_6890_6990,JU1_7750_7560
JL6_6890_6990,JU5_7510_7500
JL6_6890_6990,JU3_7400_7510
JL6_6890_6990,JU3_7490_7400
JL6_6890_6990,JU1_7630_7490
JL6_6890_6990,JU1_7690_7490
JL6_6890_6990,JU5_7300_7510
JL6_6890_6990,JU3_6650_7300
JL6_6890_6990,JU1_6300_6650
JL6_6890_6990,JU1_6340_6650
JL6_6890_6990,JU4_7000_7300
JL6_6890_6990,JU2_7360_7000
JL6_6890_6990,JU2_7450_7360
JL6_6890_6990,JU4_7330_7000
JL6_6890_6990,JU2_7140_7330
JL6_6890_6990,JU3_6950_7330
JL6_6890_6990,JU3_6900_6950
JL6_6890_6990,JU2_6810_6900
JL6_6890_6990,JU2_6600_6810
JL6_6890_6990,JU1_6590_6600
JL6_6890_6990,JU1_6290_6590
JL6_6890_6990,JU3_6380_6900
JL6_6960_6970,JL6_6960_6970
JL6_6960_6970,JL1_6910_6960
JL6_6960_6970,JL1_6760_6910
JL6_6960_6970,JL6_6990_6960
JL6_6960_6970,JL6_6890_6990
JL6_6960_6970,JL2_6850_6890
JL6_6960_6970,JL1_6770_6850
JL6_6960_6970,JL6_7150_6890
JL6_6960_6970,JL3_7090_7150
JL6_6960_6970,JL2_7250_7090
JL6_6960_6970,JL1_7190_7250
JL6_6960_6970,JL1_7080_7190
JL6_6960_6970,JL1_7200_7250
JL6_6960_6970,JL1_6940_7200
JL6_6960_6970,JL2_7350_7090
JL6_6960_6970,JL2_7240_7350
JL6_6960_6970,JL6_7320_7150
JL6_6960_6970,JL6_7430_7320
JL6_6960_6970,JL1_7530_7430
JL6_6960_6970,JL6_7440_7430
JL6_6960_6970,JL6_7160_7440
JL6_6960_6970,JU4_7380_7160
JL6_6960_6970,JU2_7180_7380
JL6_6960_6970,JU4_7260_7380
JL6_6960_6970,JU1_6880_7260
JL6_6960_6970,JU3_6790_7260
JL6_6960_6970,JU3_6640_6790
JL6_6960_6970,JU2_6410_6640
JL6_6960_6970,JU5_7420_7160
JL6_6960_6970,JU5_7500_7420
JL6_6960_6970,JU1_7560_7500
JL6_6960_6970,JU1_7750_7560
JL6_6960_6970,JU5_7510_7500
JL6_6960_6970,JU3_7400_7510
JL6_6960_6970,JU3_7490_7400
JL6_6960_6970,JU1_7630_7490
JL6_6960_6970,JU1_7690_7490
JL6_6960_6970,JU5_7300_7510
JL6_6960_6970,JU3_6650_7300
JL6_6960_6970,JU1_6300_6650
JL6_6960_6970,JU1_6340_6650
JL6_6960_6970,JU4_7000_7300
JL6_6960_6970,JU2_7360_7000
JL6_6960_6970,JU2_7450_7360
JL6_6960_6970,JU4_7330_7000
JL6_6960_6970,JU2_7140_7330
JL6_6960_6970,JU3_6950_7330
JL6_6960_6970,JU3_6900_6950
JL6_6960_6970,JU2_6810_6900
JL6_6960_6970,JU2_6600_6810
JL6_6960_6970,JU1_6590_6600
JL6_6960_6970,JU1_6290_6590
JL6_6960_6970,JU3_6380_6900
JL6_6970_6740,JL6_6970_6740
JL6_6970_6740,JL2_7120_6970
JL6_6970_6740,JL2_7110_7120
JL6_6970_6740,JL6_6960_6970
JL6_6970_6740,JL1_6910_6960
JL6_6970_6740,JL1_6760_6910
JL6_6970_6740,JL6_6990_6960
JL6_6970_6740,JL6_6890_6990
JL6_6970_6740,JL2_6850_6890
JL6_6970_6740,JL1_6770_6850
JL6_6970_6740,JL6_7150_6890
JL6_6970_6740,JL3_7090_7150
JL6_6970_6740,JL2_7250_7090
JL6_6970_6740,JL1_7190_7250
JL6_6970_6740,JL1_7080_7190
JL6_6970_6740,JL1_7200_7250
JL6_6970_6740,JL1_6940_7200
JL6_6970_6740,JL2_7350_7090
JL6_6970_6740,JL2_7240_7350
JL6_6970_6740,JL6_7320_7150
JL6_6970_6740,JL6_7430_7320
JL6_6970_6740,JL1_7530_7430
JL6_6970_6740,JL6_7440_7430
JL6_6970_6740,JL6_7160_7440
JL6_6970_6740,JU4_7380_7160
JL6_6970_6740,JU2_7180_7380
JL6_6970_6740,JU4_7260_7380
JL6_6970_6740,JU1_6880_7260
JL6_6970_6740,JU3_6790_7260
JL6_6970_6740,JU3_6640_6790
JL6_6970_6740,JU2_6410_6640
JL6_6970_6740,JU5_7420_7160
JL6_6970_6740,JU5_7500_7420
JL6_6970_6740,JU1_7560_7500
JL6_6970_6740,JU1_7750_7560
JL6_6970_6740,JU5_7510_7500
JL6_6970_6740,JU3_7400_7510
JL6_6970_6740,JU3_7490_7400
JL6_6970_6740,JU1_7630_7490
JL6_6970_6740,JU1_7690_7490
JL6_6970_6740,JU5_7300_7510
JL6_6970_6740,JU3_6650_7300
JL6_6970_6740,JU1_6300_6650
JL6_6970_6740,JU1_6340_6650
JL6_6970_6740,JU4_7000_7300
JL6_6970_6740,JU2_7360_7000
JL6_6970_6740,JU2_7450_7360
JL6_6970_6740,JU4_7330_7000
JL6_6970_6740,JU2_7140_7330
JL6_6970_6740,JU3_6950_7330
JL6_6970_6740,JU3_6900_6950
JL6_6970_6740,JU2_6810_6900
JL6_6970_6740,JU2_6600_6810
JL6_6970_6740,JU1_6590_6600
JL6_6970_6740,JU1_6290_6590
JL6_6970_6740,JU3_6380_6900
JL6_6990_6960,JL6_6990_6960
JL6_6990_6960,JL6_6890_6990
JL6_6990_6960,JL2_6850_6890
JL6_6990_6960,JL1_6770_6850
JL6_6990_6960,JL6_7150_6890
JL6_6990_6960,JL3_7090_7150
JL6_6990_6960,JL2_7250_7090
JL6_6990_6960,JL1_7190_7250
JL6_6990_6960,JL1_7080_7190
JL6_6990_6960,JL1_7200_7250
JL6_6990_6960,JL1_6940_7200
JL6_6990_6960,JL2_7350_7090
JL6_6990_6960,JL2_7240_7350
JL6_6990_6960,JL6_7320_7150
JL6_6990_6960,JL6_7430_7320
JL6_6990_6960,JL1_7530_7430
JL6_6990_6960,JL6_7440_7430
JL6_6990_6960,JL6_7160_7440
JL6_6990_6960,JU4_7380_7160
JL6_6990_6960,JU2_7180_7380
JL6_6990_6960,JU4_7260_7380
JL6_6990_6960,JU1_6880_7260
JL6_6990_6960,JU3_6790_7260
JL6_6990_6960,JU3_6640_6790
JL6_6990_6960,JU2_6410_6640
JL6_6990_6960,JU5_7420_7160
JL6_6990_6960,JU5_7500_7420
JL6_6990_6960,JU1_7560_7500
JL6_6990_6960,JU1_7750_7560
JL6_6990_6960,JU5_7510_7500
JL6_6990_6960,JU3_7400_7510
JL6_6990_6960,JU3_7490_7400
JL6_6990_6960,JU1_7630_7490
JL6_6990_6960,JU1_7690_7490
JL6_6990_6960,JU5_7300_7510
JL6_6990_6960,JU3_6650_7300
JL6_6990_6960,JU1_6300_6650
JL6_6990_6960,JU1_6340_6650
JL6_6990_6960,JU4_7000_7300
JL6_6990_6960,JU2_7360_7000
JL6_6990_6960,JU2_7450_7360
JL6_6990_6960,JU4_7330_7000
JL6_6990_6960,JU2_7140_7330
JL6_6990_6960,JU3_6950_7330
JL6_6990_6960,JU3_6900_6950
JL6_6990_6960,JU2_6810_6900
JL6_6990_6960,JU2_6600_6810
JL6_6990_6960,JU1_6590_6600
JL6_6990_6960,JU1_6290_6590
JL6_6990_6960,JU3_6380_6900
JL6_7150_6890,JL6_7150_6890
JL6_7150_6890,JL3_7090_7150
JL6_7150_6890,JL2_7250_7090
JL6_7150_6890,JL1_7190_7250
JL6_7150_6890,JL1_7080_7190
JL6_7150_6890,JL1_7200_7250
JL6_7150_6890,JL1_6940_7200
JL6_7150_6890,JL2_7350_7090
JL6_7150_6890,JL2_7240_7350
JL6_7150_6890,JL6_7320_7150
JL6_7150_6890,JL6_7430_7320
JL6_7150_6890,JL1_7530_7430
JL6_7150_6890,JL6_7440_7430
JL6_7150_6890,JL6_7160_7440
JL6_7150_6890,JU4_7380_7160
JL6_7150_6890,JU2_7180_7380
JL6_7150_6890,JU4_7260_7380
JL6_7150_6890,JU1_6880_7260
JL6_7150_6890,JU3_6790_7260
JL6_7150_6890,JU3_6640_6790
JL6_7150_6890,JU2_6410_6640
JL6_7150_6890,JU5_7420_7160
JL6_7150_6890,JU5_7500_7420
JL6_7150_6890,JU1_7560_7500
JL6_7150_6890,JU1_7750_7560
JL6_7150_6890,JU5_7510_7500
JL6_7150_6890,JU3_7400_7510
JL6_7150_6890,JU3_7490_7400
JL6_7150_6890,JU1_7630_7490
JL6_7150_6890,JU1_7690_7490
JL6_7150_6890,JU5_7300_7510
JL6_7150_6890,JU3_6650_7300
JL6_7150_6890,JU1_6300_6650
JL6_7150_6890,JU1_6340_6650
JL6_7150_6890,JU4_7000_7300
JL6_7150_6890,JU2_7360_7000
JL6_7150_6890,JU2_7450_7360
JL6_7150_6890,JU4_7330_7000
JL6_7150_6890,JU2_7140_7330
JL6_7150_6890,JU3_6950_7330
JL6_7150_6890,JU3_6900_6950
JL6_7150_6890,JU2_6810_6900
JL6_7150_6890,JU2_6600_6810
JL6_7150_6890,JU1_6590_6600
JL6_7150_6890,JU1_6290_6590
JL6_7150_6890,JU3_6380_6900
JL6_7160_7440,JL6_7160_7440
JL6_7160_7440,JU4_7380_7160
JL6_7160_7440,JU2_7180_7380
JL6_7160_7440,JU4_7260_7380
JL6_7160_7440,JU1_6880_7260
JL6_7160_7440,JU3_6790_7260
JL6_7160_7440,JU3_6640_6790
JL6_7160_7440,JU2_6410_6640
JL6_7160_7440,JU5_7420_7160
JL6_7160_7440,JU5_7500_7420
JL6_7160_7440,JU1_7560_7500
JL6_7160_7440,JU1_7750_7560
JL6_7160_7440,JU5_7510_7500
JL6_7160_7440,JU3_7400_7510
JL6_7160_7440,JU3_7490_7400
JL6_7160_7440,JU1_7630_7490
JL6_7160_7440,JU1_7690_7490
