riverseg, landseg, area (acres) ***
DE0_2590_0000,N10003,6572.56419
DE0_2600_0000,N10003,14753.38612
DE0_2610_0000,N10003,9327.941015
DE0_2640_0000,N10003,13513.7614
DE0_2690_0000,N10003,29567.30844
DE0_2710_0000,N24015,5226.148767
DE0_2710_0000,N10003,43351.43151
DE0_2800_0000,N10003,3807.63842
DE0_2850_0000,N10003,6424.343801
DE0_2870_0000,N10003,355.872553
DE0_2920_0000,N10003,7007.729368
DE0_2960_0000,N10003,6654.176618
DE0_2990_0000,N10003,28388.6436
DE0_3110_0000,N10003,29681.92632
DE0_3260_0000,N10003,19505.09708
DE0_3280_0000,N10003,1570.04465
DE0_3310_0000,N10003,4475.075675
DE0_3380_0000,N10003,21950.58143
DE0_3380_0000,N10001,18739.66922
DE0_3410_0000,N10001,66420.90338
DE0_3790_0000,N10001,36817.42713
DE0_3791_0001,N10001,20262.64883
DE0_3840_0000,N10001,14950.93061
DE0_4140_0000,N10001,53928.9589
DE0_4141_0001,N10001,12802.26525
DE0_4230_0000,N10001,24947.25227
DE0_4230_0000,N10005,20931.83246
DE0_4231_0001,N10001,2430.034099
DE0_4350_0000,N10005,33277.32171
DE0_4520_0000,N10005,68343.98318
DE0_4570_0000,N10005,10815.92477
DE0_4680_0000,N10005,37784.90722
DE0_4800_0000,N10005,54699.27315
DE0_4850_0000,N10005,47575.43463
DE0_4990_0000,N10005,9946.492034
DE0_5020_0000,N24047,7393.902294
DE0_5020_0000,N10005,22133.33148
DE0_5021_0000,N10005,2143.055084
DE0_5170_0000,N24047,34814.26875
DE0_5170_0000,N10005,5407.258538
DE0_5410_0000,N24047,27797.08419
DE0_5420_0000,N24047,7940.015995
DE0_5650_0000,N24047,44772.06665
DE0_5650_0000,N51001,47838.01537
DE0_6210_0000,N51001,10101.14234
DE0_6310_0000,N51001,64636.92849
DE0_6630_0000,N51001,57215.58079
DE0_6630_0000,N51131,43082.78005
DE0_6980_0000,N51131,40241.30116
DE0_7130_0000,N51131,53147.67908
EL0_4560_4562,N10001,8087.618637
EL0_4560_4562,N10005,18557.55527
EL0_4561_4562,N10005,19486.32644
EL0_4562_0001,N10005,6204.464408
EL0_4591_0000,N10005,729.8000075
EL0_4591_0000,N24011,16422.88692
EL0_4591_0000,N24019,38634.39868
EL0_4592_0000,N24019,9787.618851
EL0_4593_0000,N24045,6907.536117
EL0_4593_0000,N24019,8756.663898
EL0_4594_0000,N24045,12330.15154
EL0_4594_0000,N10005,6009.064988
EL0_4595_0000,N24045,15181.60026
EL0_4596_0000,N24045,5942.12322
EL0_4597_0000,N24045,10743.67825
EL0_4597_0000,N10005,1231.847511
EL0_4598_0000,N24045,5921.831292
EL0_4598_0000,N24019,7544.783183
EL0_4631_0000,N10005,25114.89464
EL0_4632_0000,N10005,40777.03663
EL0_4633_0000,N24045,1744.351239
EL0_4633_0000,N10005,76582.26072
EL0_4892_0000,N24019,2217.294626
EL0_5040_0000,N24045,15725.16074
EL0_5151_0000,N24019,60178.2927
EL0_5262_0000,N24019,1037.949421
EL0_5271_0000,N24047,19687.72526
EL0_5280_0000,N24019,78475.1071
EL0_5281_0000,N24019,17274.38932
EL0_5282_0000,N24019,3489.222708
EL0_5283_0000,N24019,5054.16776
EL0_5284_0000,N24019,6891.360876
EL0_5285_0000,N24019,852.1525453
EL0_5400_0001,N24045,23252.4132
EL0_5400_0001,N10005,1362.70406
EL0_5590_0000,N24019,12478.68805
EL0_5760_0000,N24045,38015.96071
EL0_5761_0000,N24039,3689.661525
EL0_5761_0000,N24045,30931.67019
EL0_5762_0000,N24039,12033.25471
EL0_5762_0000,N24045,7856.463365
EL0_5763_0000,N24039,19692.64066
EL0_5764_0000,N24045,288.7776714
EL0_5765_0000,N24039,1773.391412
EL0_5766_0000,N24019,169.5189083
EL0_5890_0000,N24039,9351.128963
EL0_5890_0000,N24019,4803.364805
EL0_5891_0000,N24039,3850.804717
EL0_5892_0000,N24039,7829.73889
EL0_5893_0000,N24039,4759.535371
EL0_5894_0000,N24039,2014.093762
EL0_5895_0000,N51001,943.9990536
EL0_5896_0000,N51001,1203.260553
EL0_5973_0000,N51001,8933.636003
EL0_6001_0000,N24039,36497.15065
EL0_6002_0000,N24039,10731.2033
EL0_6003_0000,N24039,21743.89338
EL0_6004_0000,N24039,150.6377922
EL0_6010_0000,N24039,6176.294306
EL0_6011_0000,N24039,8656.880936
EL0_6190_0000,N51001,49233.48789
EL0_6191_0000,N51001,10404.18664
EL0_6480_0000,N51001,16143.50877
EL0_6550_0000,N51001,14892.73407
EL0_6610_0000,N51001,23612.5912
EL0_6610_0000,N51131,25389.51376
EL0_6920_0000,N51131,17044.86911
EL0_7060_0000,N51131,11650.6173
EL0_7220_0000,N51131,9641.571939
EL1_5150_0001,N24019,10451.29279
EL1_5430_0001,N24045,17878.91349
EL1_5430_0001,N24047,11186.89631
EL1_5570_0001,N24039,10550.75458
EL1_5570_0001,N24045,2760.313817
EL1_5570_0001,N24047,26491.75136
EL1_5660_0000,N24047,14809.48152
EL1_6000_0001,N24039,11912.25772
EL2_4400_4590,N10001,30390.27368
EL2_4590_0001,N10001,8982.848435
EL2_4590_0001,N10005,22240.56415
EL2_4590_0001,N24011,23453.61261
EL2_4630_0000,N24045,191.5192224
EL2_4630_0000,N10005,53157.66321
EL2_4630_0000,N24011,438.4219438
EL2_4630_0000,N24019,1360.374062
EL2_4634_0000,N24045,1274.566573
EL2_4634_0000,N24019,9605.578335
EL2_5110_5270,N24045,8527.767622
EL2_5110_5270,N24047,5232.695058
EL2_5110_5270,N10005,22459.98163
EL2_5270_0001,N24045,35905.86993
EL2_5270_0001,N24047,46180.58064
EL3_5870_0000,N24047,36464.9036
EL3_5970_0000,N24039,8025.885134
EL3_5970_0000,N24047,5062.514337
EL3_5971_0000,N24039,11374.17228
EL3_5971_0000,N24047,5464.88509
EL3_5972_0000,N24047,13594.03733
EL3_5972_0000,N51001,19165.44742
EL3_5974_0000,N24039,17230.59896
EM0_4322_0000,N24011,8211.885518
EM0_4322_0000,N24019,7393.094825
EM0_4323_0000,N24011,4942.381025
EM0_4324_0000,N24041,21593.44218
EM0_4324_0000,N24011,6793.365156
EM0_4327_0000,N24011,5635.907079
EM0_4551_0000,N24041,1299.96088
EM0_4870_0000,N24041,11788.53701
EM0_4871_0000,N24041,6631.133944
