HSPF,CH3D,,,,,,,,,,,,,
SEGMENT,1,2,3,4,5,6,7,8,9,10,11,12,sum,
140,1.00,,,,,,,,,,,,1.00,
760,1.00,,,,,,,,,,,,1.00,
770,1.00,,,,,,,,,,,,1.00,
370,0.50,0.20,0.10,0.10,0.10,,,,,,,,1.00,
400,0.20,0.05,0.12,0.11,0.08,0.09,0.08,0.13,0.06,0.03,0.02,0.08,1.05,
450,1.00,,,,,,,,,,,,1.00,
475,0.80,0.20,,,,,,,,,,,1.00,
480,0.50,0.50,,,,,,,,,,,1.00,
490,0.50,0.20,0.10,0.10,0.10,,,,,,,,1.00,
510,0.40,0.20,0.20,0.20,,,,,,,,,1.00,
800,0.50,0.50,,,,,,,,,,,1.00,
810,0.15,0.15,0.14,0.14,0.14,0.14,0.14,,,,,,1.00,
835,0.40,0.40,0.10,0.10,,,,,,,,,1.00,
845,0.20,0.20,0.20,0.20,0.20,,,,,,,,1.00,
850,0.50,0.50,,,,,,,,,,,1.00,
860,0.80,0.20,,,,,,,,,,,1.00,
870,1.00,,,,,,,,,,,,1.00,
880,0.18,0.09,0.09,0.09,0.09,0.11,0.13,0.06,0.05,0.11,,,1.00,
