cell,rseg,weight***
CB1TF,SL2_2480_0001,0.333333333
CB1TF,SL2_2480_0001,0.333333333
CB1TF,SL2_2480_0001,0.333333333
ELKOH,EU1_2650_0001,1
NORTF,EU1_2810_0001,0.5
NORTF,EU1_2810_0001,0.5
CB1TF,SL2_3060_0001,1
BSHOH,WU0_3250_0001,1
BSHOH,WU1_3330_0001,1
GUNOH,WU3_3481_0001,1
GUNOH,WU1_3482_0001,1
CHSTF,EU2_3520_0001,1
PATMH,WM0_3650_0001,1
GUNOH,WU0_3670_0001,1
BACOH,WM0_3740_0001,1
CHSTF,EU0_3830_0001,1
PATMH,WM1_3910_0001,1
PATMH,WM3_4060_0001,1
CHOTF,EM2_4100_0001,1
ANATF_MD,PL0_4510_0001,1
ANATF_MD,PL1_4540_0001,1
NANTF_DE,EL0_4562_0001,1
NANTF_MD,EL2_4590_0001,1
PAXTF,XL1_4690_0001,1
POTTF_DC,PL1_4780_0001,1
POTTF_VA,PL0_5000_0001,1
PISTF,PL0_5070_0001,1
POTTF_VA,PL1_5130_0001,1
FSBMH,EL1_5150_0001,1
MATTF,PL1_5230_0001,1
POTTF_VA,PL3_5250_0001,1
POCTF,EL2_5270_0001,1
PAXOH,XL0_5320_0001,1
WICMH,EL0_5400_0001,1
POCTF,EL1_5430_0001,1
POTTF_VA,PL0_5490_0001,1
POTMH_MD,PL0_5510_0001,1
POCTF,EL1_5570_0001,1
POTMH_MD,PL2_5630_0001,1
POTOH_VA,PL1_5690_0001,1
POTMH_MD,PL0_5710_0001,1
POTOH3_MD,PL0_5720_0001,1
POTMH_MD,PL0_5750_0001,1
POTMH_MD,PL0_5830_0001,1
POTMH_MD,PL1_5910_0001,1
POCMH_MD,EL1_6000_0001,0.5
POCMH_MD,EL1_6000_0001,0.5
RPPMH,RL1_6180_0001,1
RPPMH,RL0_6540_0001,1
PIAMH,YL2_6580_0001,1
PMKTF,YP0_6840_0001,1
CHKOH,JB0_7051_0001,1
CHKOH,JB0_7052_0001,1
CHKOH,JB3_7053_0001,1
APPTF,JA2_7290_0001,1
JMSMH,JB2_7800_0001,1
JMSMH,JB1_8090_0001,1
CHSOH,EU0_3726_0001,1
WICMH,EL0_5767_0001,1
