 STATION YP3_6330_6700 for TOTN
   upstream segment YP3_6330_6700 YP3_6330_6700 TOTN
   upstream segment YP2_6390_6330 YP3_6330_6700 TOTN
 STATION YP4_6720_6750 for TOTN
   upstream segment YP4_6720_6750 YP4_6720_6750 TOTN
   upstream segment YP3_6690_6720 YP4_6720_6750 TOTN
   upstream segment YP3_6670_6720 YP4_6720_6750 TOTN
   upstream segment YP3_6470_6690 YP4_6720_6750 TOTN
   upstream segment YP1_6680_6670 YP4_6720_6750 TOTN
   upstream segment YP3_6700_6670 YP4_6720_6750 TOTN
   upstream segment YP1_6570_6680 YP4_6720_6750 TOTN
     upstream station YP3_6330_6700 YP4_6720_6750 TOTN
 STATION YP1_6570_6680 for TOTP
   upstream segment YP1_6570_6680 YP1_6570_6680 TOTP
 STATION YP2_6390_6330 for TOTP
   upstream segment YP2_6390_6330 YP2_6390_6330 TOTP
 STATION YP3_6330_6700 for TOTP
   upstream segment YP3_6330_6700 YP3_6330_6700 TOTP
     upstream station YP2_6390_6330 YP3_6330_6700 TOTP
 STATION YP4_6720_6750 for TOTP
   upstream segment YP4_6720_6750 YP4_6720_6750 TOTP
   upstream segment YP3_6690_6720 YP4_6720_6750 TOTP
   upstream segment YP3_6670_6720 YP4_6720_6750 TOTP
   upstream segment YP3_6470_6690 YP4_6720_6750 TOTP
   upstream segment YP1_6680_6670 YP4_6720_6750 TOTP
   upstream segment YP3_6700_6670 YP4_6720_6750 TOTP
   upstream segment YP3_6330_6700 YP4_6720_6750 TOTP
     upstream station YP1_6570_6680 YP4_6720_6750 TOTP
     upstream station YP2_6390_6330 YP4_6720_6750 TOTP
