Facility,MP Name,Source Type,Current Use Five Year Average (MGY),Enddate,Latitude,Longitude
CROZET WTP,BEAVER CREEK RESERVOIR,Surface Water Intake,170.85,2016,38.07138889,-78.6525
CASTLEWOOD SERVICE AREA,SEVEN SPRING WELL 3,Well,59.04,2016,51.942,15.363
HIGH KNOB,Spring Rd Well (Well 7),Well,0.86,2016,38.89709936,-78.12155186
HURT PLANT WTP,Well #2,Well,0.00,2016,37.09340458,-79.32005267
Doughty-Drewer Complex,Doughty Pond Intake,Surface Water Intake,27.56,2016,37.60178825,-75.82611322
Essex Mobile Home Park,Well #1,Well,0.00,2014,37.928,-76.874
David's Nursery,Ward Farm Pond,Well,3.58,2016,,
Kentucky Farm,Mattaponi River,Surface Water Intake,0.65,2016,37.6144,-76.8608
Rees Vineyard,Tset 3,Surface Water Intake,0.00,2016,37.7343656,-78.6469731
Dahlgren Base,Pumpkin Neck Well B-9431,Well,1.09,2014,38.29805556,-77.04888889
Dahlgren Base,Pumpkin Neck Well B-9431,Well,0.82,2016,38.29805556,-77.04888889
Scotts Company - Waverly Virginia,Well 1A,Well,0.00,2016,37.016231,-77.060739
Scotts Company - Waverly Virginia,Well 2A,Well,0.00,2016,37.016136,-77.060739
Stafford Ready Mix Plant,Pond,Surface Water Intake,0.00,2016,,
Stafford Ready Mix Plant,Pond,Surface Water Intake,0.82,2016,,
Town of Kilmarnock,"Hospital 3A, 151-114",Well,21.17,2016,37.70220649,-76.38552634
Monroe Bay Estates and Trailer Park,"Well #2, 196-54",Well,1.53,2014,38.24057688,-76.975461
Milford Sanitary District Water System,"Well #1, Tower Well",Well,7.02,2014,38.02055556,-77.34044444
PoorhouseTract/Caroline High School,well #2-Maintenance Shop Well,Well,1.33,2014,38.00111,-77.41471944
Town of Tappahannock,"Well #3, 128-082",Well,52.58,2016,37.90944444,-76.86027778
Town of Tappahannock,"Well #2, 128-017",Well,1.79,2016,37.92846897,-76.86163024
Jones 2 Farm,Well #1,Well,1.12,2016,37.45511389,-75.90100556
Stafford Ready Mix Plant,"Well #2, 189-1397",Well,0.00,2014,38.41893066,-77.41620526
Legacy Park Subdivision,"#4, DEQ#142-613",Well,0.00,2016,37.63775833,-77.33178889
Legacy Park Subdivision,"#3, DEQ#142-612",Well,0.00,2016,37.63695556,-77.33133333
Newman Farms,South Well #3,Well,2.79,2016,37.34569305,-75.90993572
Newman Farms,North Well #2,Well,3.37,2016,37.35174008,-75.91426376
Mount Vernon Estate,Well #5 ,Well,6.48,2016,38.706923,-77.084837
Town of Urbanna,Well #5,Well,27.63,2016,37.6331125,-76.58173119
Town of Warsaw,"Well #1, 179-006",Well,2.16,2014,37.95976111,-76.75596111
Surry County Educational Complex,Ballfield Irrigation Well,Well,0.01,2016,37.07837188,-76.90343348
Bush Park Camping Resort,"Well 4, Entrance, 159-143",Well,0.00,2014,37.56933055,-76.39702942
Sunnyside Farm,Irrigation Well #1,Well,0.00,2014,37.906364,-76.946247
Bexley Mobile Home Park,Well #4,Well,0.72,2016,37.07712743,-77.36007929
Bexley Mobile Home Park,Well #2,Well,0.18,2016,37.07495237,-77.35773772
Bexley Mobile Home Park,Well #1,Well,0.45,2016,37.07493611,-77.35777527
Laurel Point Subdivision,Well #2 (151-22),Well,0.53,2016,37.7341,-76.4237
Chesapeake Cove,Well # 1,Well,0.00,2014,37.93833333,-76.3575
Bells Cove Water System,Well #2,Well,0.00,2014,37.976975,-76.558353
ROUND HILL SERVICE AREA,Round Hill Well #7A,Well,13.90,2016,39.121544,-77.763857
VA TECH Dairy Science Complex - Kentland Farm,VT Dairy Well #2- Backup,Well,0.17,2016,37.204772,-80.573339
NEW HOPE FARM,3 Wells,Well,1.78,2016,,
NORTH POINT FARM,WELLS,Well,3.75,2016,38.1454376,-78.8994381
LAKE CAROLINE,Well 1C,Well,23.84,2016,,
KENTMERE FARM,3 Wells,Well,4.43,2016,99,-99
LAKE CAROLINE,Well 1B,Well,7.06,2016,,
SMALL SYSTEMS,HOLLER WELL #1,Well,0.05,2016,38.8732,-78.5951
Cameron Hills Golf Links,Well #2 Clubhouse,Well,0.17,2016,,
SMALL SYSTEMS,Stoney Creek Well #25,Well,4.37,2016,,
SMALL SYSTEMS,Stoney Creek Well #22,Well,2.72,2016,,
SMALL SYSTEMS,St. Tammany Landing Well #2,Well,0.82,2016,,
SMALL SYSTEMS,British Woods Well #1,Well,4.51,2016,,
Secondary sources (fmr WHALEYVILLE SERVICE AREA),Whaleyville School Well ,Well,4.84,2016,36.588835,-76
