cell,rseg,weight***
10850,SL2_2480_0001,0.333333333
10878,SL2_2480_0001,0.333333333
10907,SL2_2480_0001,0.333333333
11048,EU1_2650_0001,1
10850,SL9_2720_0001,0.333333333
10878,SL9_2720_0001,0.333333333
10907,SL9_2720_0001,0.333333333
11031,EU1_2810_0001,0.5
11032,EU1_2810_0001,0.5
10850,SL2_3060_0001,1
10620,WU0_3250_0001,1
10604,WU1_3330_0001,1
10575,WU3_3481_0001,1
10575,WU1_3482_0001,1
9867,EU2_3520_0001,1
10289,WM0_3650_0001,1
10573,WU0_3670_0001,1
10362,WM0_3740_0001,1
9867,EU0_3830_0001,1
10187,WM1_3910_0001,1
8938,EM2_3980_0001,1
10156,WM3_4060_0001,1
9046,EM2_4100_0001,1
6443,PL0_4510_0001,1
6443,PL1_4540_0001,1
8213,EL0_4562_0001,1
8123,EL2_4590_0001,1
7964,XU3_4650_0001,1
7969,XL1_4690_0001,1
5986,PL1_4780_0001,1
5671,PM7_4820_0001,1
5536,PL0_5000_0001,1
6785,PL0_5070_0001,1
5150,PL1_5130_0001,1
8051,EL1_5150_0001,1
6914,PL1_5230_0001,1
4717,PL3_5250_0001,1
4401,EL2_5270_0001,1
7982,XL0_5320_0001,1
7782,EL0_5400_0001,1
4401,EL1_5430_0001,1
4942,PL0_5490_0001,1
7119,PL0_5510_0001,1
4399,EL1_5570_0001,1
7118,PL2_5630_0001,1
4761,PL1_5690_0001,1
7118,PL0_5710_0001,1
6787,PL0_5720_0001,1
6918,PL0_5750_0001,1
6974,PL0_5830_0001,1
7280,PL1_5910_0001,1
4392,EL1_6000_0001,0.5
4393,EL1_6000_0001,0.5
3392,RU5_6030_0001,1
3530,RL1_6180_0001,1
2945,RL0_6540_0001,1
2787,YL2_6580_0001,1
2100,YM4_6620_0001,1
1796,YP4_6750_0001,1
1796,YP0_6840_0001,1
1465,JB0_7051_0001,1
1501,JB0_7052_0001,1
1532,JB3_7053_0001,1
1071,JL7_7070_0001,1
793,JA2_7290_0001,1
790,JA5_7480_0001,1
186,JB2_7800_0001,1
186,JB1_8090_0001,1
9929,EU0_3726_0001,1
7782,EL0_5767_0001,1
