TABLE->,ICE-FLAG,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM1,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-PARM2,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT1,SNOW-INIT2,SNOW-INIT2,SNOW-INIT2
A24035,1,39.07168106,50.01,0.05,1.3,1.07,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.07,0,0.9
A24037,1,38.30568701,75.08,0.05,1.3,1.11,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.11,0,0.9
A24039,1,38.12373492,14.14,0.05,1.3,1.02,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.02,0,0.9
A24041,1,38.77564848,30.55,0.05,1.3,1.04,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.04,0,0.9
A24043,1,39.60701101,558.93,0.05,1.3,1.78,0.12,32,0.13,0.5,0.03,0.03,0.822,0,0,0.15,100,30,1.78,0,0.9
A24045,1,38.37289199,35.35,0.05,1.3,1.05,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.05,0,0.9
A24047,1,38.22028612,25.77,0.05,1.3,1.04,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.04,0,0.9
A24510,1,39.30861554,187.45,0.05,1.3,1.26,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.26,0,0.9
A36003,1,42.25739363,1775.12,0.05,1.3,3.49,0.12,32,0.13,0.5,0.03,0.03,4.224,0,0,0.15,100,30,3.49,0,0.9
A36007,1,42.15939928,1299.98,0.05,1.3,2.83,0.12,32,0.13,0.5,0.03,0.03,2.742,0,0,0.15,100,30,2.83,0,0.9
A36015,1,42.14125317,1268.14,0.05,1.3,2.78,0.12,32,0.13,0.5,0.03,0.03,2.628,0,0,0.15,100,30,2.78,0,0.9
A36017,1,42.49334922,1371.26,0.05,1.3,2.93,0.12,32,0.13,0.5,0.03,0.03,2.946,0,0,0.15,100,30,2.93,0,0.9
A36023,1,42.59500184,1420.76,0.05,1.3,2.99,0.12,32,0.13,0.5,0.03,0.03,4.128,0,0,0.15,100,30,2.99,0,0.9
A36025,1,42.19812271,1720.63,0.05,1.3,3.42,0.12,32,0.13,0.5,0.03,0.03,5.166,0,0,0.15,100,30,3.42,0,0.9
A36043,1,43.4196111,1122.05,0.05,1.3,2.58,0.12,32,0.13,0.5,0.03,0.03,4.89,0,0,0.15,100,30,2.58,0,0.9
A36051,1,42.72807314,980.86,0.05,1.3,2.38,0.12,32,0.13,0.5,0.03,0.03,4.452,0,0,0.15,100,30,2.38,0,0.9
A36053,1,42.91286895,1196.94,0.05,1.3,2.68,0.12,32,0.13,0.5,0.03,0.03,4.638,0,0,0.15,100,30,2.68,0,0.9
A36065,1,43.24179668,900.82,0.05,1.3,2.26,0.12,32,0.13,0.5,0.03,0.03,4.866,0,0,0.15,100,30,2.26,0,0.9
A36067,1,43.00580385,889.44,0.05,1.3,2.25,0.12,32,0.13,0.5,0.03,0.03,4.92,0,0,0.15,100,30,2.25,0,0.9
A36069,1,42.85289104,832.78,0.05,1.3,2.17,0.12,32,0.13,0.5,0.03,0.03,4.47,0,0,0.15,100,30,2.17,0,0.9
A36077,1,42.63387788,1483.5,0.05,1.3,3.08,0.12,32,0.13,0.5,0.03,0.03,5.148,0,0,0.15,100,30,3.08,0,0.9
A36095,1,42.58824881,1290.13,0.05,1.3,2.81,0.12,32,0.13,0.5,0.03,0.03,5.112,0,0,0.15,100,30,2.81,0,0.9
A36097,1,42.39500944,1298.36,0.05,1.3,2.82,0.12,32,0.13,0.5,0.03,0.03,4.32,0,0,0.15,100,30,2.82,0,0.9
A36101,1,42.26767016,1660.29,0.05,1.3,3.33,0.12,32,0.13,0.5,0.03,0.03,4.302,0,0,0.15,100,30,3.33,0,0.9
A36107,1,42.17028267,1214.82,0.05,1.3,2.71,0.12,32,0.13,0.5,0.03,0.03,2.382,0,0,0.15,100,30,2.71,0,0.9
A36109,1,42.45201249,1186.43,0.05,1.3,2.67,0.12,32,0.13,0.5,0.03,0.03,2.91,0,0,0.15,100,30,2.67,0,0.9
A36123,1,42.63481274,1050.43,0.05,1.3,2.47,0.12,32,0.13,0.5,0.03,0.03,4.434,0,0,0.15,100,30,2.47,0,0.9
A37001,1,36.04401857,608.44,0.05,1.3,1.85,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.85,0,0.9
A37005,1,36.45337935,3229.87,0.05,1.3,5.53,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,5.53,0,0.9
A37009,1,36.44367682,3399.58,0.05,1.3,5.77,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,5.77,0,0.9
A37033,1,36.3933521,578.88,0.05,1.3,1.81,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.81,0,0.9
A37067,1,36.13040404,853.28,0.05,1.3,2.2,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.2,0,0.9
A37077,1,36.30399603,427.78,0.05,1.3,1.6,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.6,0,0.9
A37081,1,36.07940265,779.11,0.05,1.3,2.09,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.09,0,0.9
A37131,1,36.41777782,94.9,0.05,1.3,1.13,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.13,0,0.9
A37135,1,36.06136456,580.72,0.05,1.3,1.82,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.82,0,0.9
A37145,1,36.39013842,559.72,0.05,1.3,1.79,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.79,0,0.9
A37157,1,36.39609383,716.4,0.05,1.3,2.01,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.01,0,0.9
A37169,1,36.40183476,965.65,0.05,1.3,2.36,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.36,0,0.9
A37171,1,36.41480989,1221.07,0.05,1.3,2.71,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.71,0,0.9
A37181,1,36.36474919,388.34,0.05,1.3,1.55,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.55,0,0.9
A37185,1,36.39657461,305.28,0.05,1.3,1.43,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.43,0,0.9
A37189,1,36.23127657,3318.94,0.05,1.3,5.66,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,5.66,0,0.9
A42001,1,39.86126692,578.4,0.05,1.3,1.81,0.12,32,0.13,0.5,0.03,0.03,1.572,0,0,0.15,100,30,1.81,0,0.9
A42009,1,39.9962397,1276.29,0.05,1.3,2.79,0.12,32,0.13,0.5,0.03,0.03,3.084,0,0,0.15,100,30,2.79,0,0.9
A42011,1,40.41624296,505.72,0.05,1.3,1.71,0.12,32,0.13,0.5,0.03,0.03,1.2,0,0,0.15,100,30,1.71,0,0.9
A42013,1,40.48133255,1253.53,0.05,1.3,2.76,0.12,32,0.13,0.5,0.03,0.03,3.756,0,0,0.15,100,30,2.76,0,0.9
A42015,1,41.8210913,1300.45,0.05,1.3,2.83,0.12,32,0.13,0.5,0.03,0.03,2.214,0,0,0.15,100,30,2.83,0,0.9
A42021,1,40.49542328,1941.39,0.05,1.3,3.73,0.12,32,0.13,0.5,0.03,0.03,4.26,0,0,0.15,100,30,3.73,0,0.9
A42023,1,41.43677946,1570.65,0.05,1.3,3.21,0.12,32,0.13,0.5,0.03,0.03,4.47,0,0,0.15,100,30,3.21,0,0.9
A42025,1,40.9183509,922.83,0.05,1.3,2.3,0.12,32,0.13,0.5,0.03,0.03,4.206,0,0,0.15,100,30,2.3,0,0.9
A42027,1,40.87769031,1169.82,0.05,1.3,2.64,0.12,32,0.13,0.5,0.03,0.03,4.128,0,0,0.15,100,30,2.64,0,0.9
A42029,1,39.9731924,469.84,0.05,1.3,1.66,0.12,32,0.13,0.5,0.03,0.03,1.08,0,0,0.15,100,30,1.66,0,0.9
A42033,1,41.00026767,1625.3,0.05,1.3,3.28,0.12,32,0.13,0.5,0.03,0.03,3.534,0,0,0.15,100,30,3.28,0,0.9
A42035,1,41.29449724,1344.93,0.05,1.3,2.89,0.12,32,0.13,0.5,0.03,0.03,1.818,0,0,0.15,100,30,2.89,0,0.9
A42037,1,41.04865835,881.25,0.05,1.3,2.24,0.12,32,0.13,0.5,0.03,0.03,1.554,0,0,0.15,100,30,2.24,0,0.9
A42041,1,40.19420548,569.21,0.05,1.3,1.8,0.12,32,0.13,0.5,0.03,0.03,1.104,0,0,0.15,100,30,1.8,0,0.9
A42043,1,40.49679266,624.1,0.05,1.3,1.88,0.12,32,0.13,0.5,0.03,0.03,1.686,0,0,0.15,100,30,1.88,0,0.9
A42047,1,41.42522819,1814.75,0.05,1.3,3.55,0.12,32,0.13,0.5,0.03,0.03,4.302,0,0,0.15,100,30,3.55,0,0.9
A42055,1,39.88089704,676.45,0.05,1.3,1.95,0.12,32,0.13,0.5,0.03,0.03,3.342,0,0,0.15,100,30,1.95,0,0.9
A42057,1,39.9254705,939.31,0.05,1.3,2.32,0.12,32,0.13,0.5,0.03,0.03,2.892,0,0,0.15,100,30,2.32,0,0.9
A42061,1,40.41816823,962.99,0.05,1.3,2.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.35,0,0.9
A42063,1,40.6520524,1447.66,0.05,1.3,3.03,0.12,32,0.13,0.5,0.03,0.03,4.152,0,0,0.15,100,30,3.03,0,0.9
A42065,1,41.12813119,1606.81,0.05,1.3,3.26,0.12,32,0.13,0.5,0.03,0.03,4.392,0,0,0.15,100,30,3.26,0,0.9
A42067,1,40.53113555,651.86,0.05,1.3,1.92,0.12,32,0.13,0.5,0.03,0.03,1.872,0,0,0.15,100,30,1.92,0,0.9
A42069,1,41.43704352,1389.02,0.05,1.3,2.95,0.12,32,0.13,0.5,0.03,0.03,2.34,0,0,0.15,100,30,2.95,0,0.9
A42071,1,40.04236561,468.78,0.05,1.3,1.66,0.12,32,0.13,0.5,0.03,0.03,0.858,0,0,0.15,100,30,1.66,0,0.9
A42075,1,40.36315186,518.39,0.05,1.3,1.73,0.12,32,0.13,0.5,0.03,0.03,0.858,0,0,0.15,100,30,1.73,0,0.9
A42079,1,41.15897644,1045.23,0.05,1.3,2.47,0.12,32,0.13,0.5,0.03,0.03,1.518,0,0,0.15,100,30,2.47,0,0.9
A42081,1,41.43251842,1480.87,0.05,1.3,3.08,0.12,32,0.13,0.5,0.03,0.03,4.62,0,0,0.15,100,30,3.08,0,0.9
A42083,1,41.80775897,1775.8,0.05,1.3,3.49,0.12,32,0.13,0.5,0.03,0.03,4.68,0,0,0.15,100,30,3.49,0,0.9
A42087,1,40.61094155,770.77,0.05,1.3,2.08,0.12,32,0.13,0.5,0.03,0.03,3.492,0,0,0.15,100,30,2.08,0,0.9
A42093,1,41.02810882,665.46,0.05,1.3,1.93,0.12,32,0.13,0.5,0.03,0.03,1.332,0,0,0.15,100,30,1.93,0,0.9
A42097,1,40.85203677,676.13,0.05,1.3,1.95,0.12,32,0.13,0.5,0.03,0.03,3.624,0,0,0.15,100,30,1.95,0,0.9
A42099,1,40.39844645,650.55,0.05,1.3,1.91,0.12,32,0.13,0.5,0.03,0.03,1.878,0,0,0.15,100,30,1.91,0,0.9
A42105,1,41.74495395,2019.25,0.05,1.3,3.83,0.12,32,0.13,0.5,0.03,0.03,4.938,0,0,0.15,100,30,3.83,0,0.9
A42107,1,40.70586577,867.86,0.05,1.3,2.22,0.12,32,0.13,0.5,0.03,0.03,1.596,0,0,0.15,100,30,2.22,0,0.9
A42109,1,40.76994756,673.97,0.05,1.3,1.95,0.12,32,0.13,0.5,0.03,0.03,1.704,0,0,0.15,100,30,1.95,0,0.9
A42111,1,39.97247645,2174.59,0.05,1.3,4.05,0.12,32,0.13,0.5,0.03,0.03,4.452,0,0,0.15,100,30,4.05,0,0.9
A42113,1,41.44597794,1663.61,0.05,1.3,3.34,0.12,32,0.13,0.5,0.03,0.03,5.076,0,0,0.15,100,30,3.34,0,0.9
A42115,1,41.82138646,1406.13,0.05,1.3,2.97,0.12,32,0.13,0.5,0.03,0.03,2.706,0,0,0.15,100,30,2.97,0,0.9
A42117,1,41.77063835,1639.62,0.05,1.3,3.3,0.12,32,0.13,0.5,0.03,0.03,4.32,0,0,0.15,100,30,3.3,0,0.9
A42119,1,40.96177626,710.05,0.05,1.3,2,0.12,32,0.13,0.5,0.03,0.03,4.392,0,0,0.15,100,30,2,0,0.9
A42127,1,41.64872959,1468.43,0.05,1.3,3.06,0.12,32,0.13,0.5,0.03,0.03,2.61,0,0,0.15,100,30,3.06,0,0.9
A42131,1,41.54214134,1046.4,0.05,1.3,2.47,0.12,32,0.13,0.5,0.03,0.03,1.836,0,0,0.15,100,30,2.47,0,0.9
A42133,1,39.9189701,642.87,0.05,1.3,1.9,0.12,32,0.13,0.5,0.03,0.03,1.668,0,0,0.15,100,30,1.9,0,0.9
A47091,1,36.45493492,2903.76,0.05,1.3,5.08,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,5.08,0,0.9
A47163,1,36.51292442,1699.48,0.05,1.3,3.39,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,3.39,0,0.9
A51001,1,37.74999389,24.52,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51003,1,38.00302161,553.19,0.05,1.3,1.78,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.78,0,0.9
A51005,1,37.78582275,1733.82,0.05,1.3,3.43,0.12,32,0.13,0.5,0.03,0.03,2.268,0,0,0.15,100,30,3.43,0,0.9
A51007,1,37.33595586,329.4,0.05,1.3,1.46,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.46,0,0.9
A51009,1,37.56979941,771.71,0.05,1.3,2.08,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.08,0,0.9
A51011,1,37.37218879,693.6,0.05,1.3,1.97,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.97,0,0.9
A51013,1,38.88025838,351.05,0.05,1.3,1.49,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.49,0,0.9
A51015,1,38.1508474,1491.39,0.05,1.3,3.09,0.12,32,0.13,0.5,0.03,0.03,2.196,0,0,0.15,100,30,3.09,0,0.9
A51017,1,38.0663604,2142.95,0.05,1.3,4.01,0.12,32,0.13,0.5,0.03,0.03,2.814,0,0,0.15,100,30,4.01,0,0.9
A51019,1,37.41117,1190.81,0.05,1.3,2.67,0.12,32,0.13,0.5,0.03,0.03,0.63,0,0,0.15,100,30,2.67,0,0.9
A51021,1,37.13399495,2720.54,0.05,1.3,4.82,0.12,32,0.13,0.5,0.03,0.03,1.218,0,0,0.15,100,30,4.82,0,0.9
A51023,1,37.55396183,1200.41,0.05,1.3,2.69,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.69,0,0.9
A51025,1,36.76476936,292.96,0.05,1.3,1.41,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.41,0,0.9
A51027,1,37.26657627,1903.18,0.05,1.3,3.67,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,3.67,0,0.9
A51029,1,37.57221989,502.56,0.05,1.3,1.71,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.71,0,0.9
A51031,1,37.20562002,700.85,0.05,1.3,1.98,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.98,0,0.9
A51033,1,38.00071137,168.44,0.05,1.3,1.24,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.24,0,0.9
A51035,1,36.74228556,2547.38,0.05,1.3,4.58,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,4.58,0,0.9
A51036,1,37.36027834,69.07,0.05,1.3,1.1,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.1,0,0.9
A51037,1,37.01162245,514.53,0.05,1.3,1.72,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.72,0,0.9
A51041,1,37.37906962,204.5,0.05,1.3,1.29,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.29,0,0.9
A51043,1,39.113113,574.53,0.05,1.3,1.81,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.81,0,0.9
A51045,1,37.46139468,2068.81,0.05,1.3,3.9,0.12,32,0.13,0.5,0.03,0.03,1.896,0,0,0.15,100,30,3.9,0,0.9
A51047,1,38.48606084,388.79,0.05,1.3,1.55,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.55,0,0.9
A51049,1,37.51203986,371.67,0.05,1.3,1.52,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.52,0,0.9
A51051,1,37.12545968,1942.21,0.05,1.3,3.73,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,3.73,0,0.9
A51053,1,37.07584562,246.3,0.05,1.3,1.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.35,0,0.9
A51057,1,37.93934326,101.79,0.05,1.3,1.14,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.14,0,0.9
A51059,1,38.84402773,249.32,0.05,1.3,1.35,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.35,0,0.9
A51061,1,38.72709628,475.34,0.05,1.3,1.67,0.12,32,0.13,0.5,0.03,0.03,0.726,0,0,0.15,100,30,1.67,0,0.9
A51063,1,36.93159614,2592.35,0.05,1.3,4.64,0.12,32,0.13,0.5,0.03,0.03,1.032,0,0,0.15,100,30,4.64,0,0.9
A51065,1,37.84184948,394.34,0.05,1.3,1.55,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.55,0,0.9
A51067,1,36.98079876,1102.94,0.05,1.3,2.55,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.55,0,0.9
A51069,1,39.207776,795.88,0.05,1.3,2.12,0.12,32,0.13,0.5,0.03,0.03,2.514,0,0,0.15,100,30,2.12,0,0.9
A51071,1,37.36744941,2181.24,0.05,1.3,4.06,0.12,32,0.13,0.5,0.03,0.03,1.062,0,0,0.15,100,30,4.06,0,0.9
A51073,1,37.42463781,53.78,0.05,1.3,1.08,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.08,0,0.9
A51075,1,37.72196667,290.26,0.05,1.3,1.41,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.41,0,0.9
A51077,1,36.64698231,2630.08,0.05,1.3,4.69,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,4.69,0,0.9
A51079,1,38.26372553,602.24,0.05,1.3,1.85,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.85,0,0.9
A51081,1,36.67580602,152,0.05,1.3,1.21,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.21,0,0.9
A51083,1,36.76698764,470.13,0.05,1.3,1.66,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.66,0,0.9
A51085,1,37.76031702,202.67,0.05,1.3,1.28,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.28,0,0.9
A51087,1,37.54204263,113.25,0.05,1.3,1.16,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.16,0,0.9
A51089,1,36.68277128,937.62,0.05,1.3,2.32,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.32,0,0.9
A51091,1,38.38593478,2834.63,0.05,1.3,4.98,0.12,32,0.13,0.5,0.03,0.03,3.156,0,0,0.15,100,30,4.98,0,0.9
A51093,1,36.89047299,64.27,0.05,1.3,1.09,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.09,0,0.9
A51095,1,37.33022235,81.96,0.05,1.3,1.12,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.12,0,0.9
A51097,1,37.72411404,119.42,0.05,1.3,1.17,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.17,0,0.9
A51099,1,38.27327907,88.44,0.05,1.3,1.12,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.12,0,0.9
A51101,1,37.71084802,97.51,0.05,1.3,1.14,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.14,0,0.9
A51103,1,37.73704425,63.89,0.05,1.3,1.09,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.09,0,0.9
A51105,1,36.67988374,1665.28,0.05,1.3,3.34,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,3.34,0,0.9
A51107,1,39.09335793,459.42,0.05,1.3,1.64,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.64,0,0.9
A51109,1,37.97822498,378.73,0.05,1.3,1.53,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.53,0,0.9
A51111,1,36.94623581,449.96,0.05,1.3,1.63,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.63,0,0.9
A51113,1,38.37742263,519.33,0.05,1.3,1.73,0.12,32,0.13,0.5,0.03,0.03,3.042,0,0,0.15,100,30,1.73,0,0.9
A51115,1,37.43684239,11.31,0.05,1.3,1.02,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.02,0,0.9
A51117,1,36.68035308,367.09,0.05,1.3,1.52,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.52,0,0.9
A51119,1,37.63374305,65.9,0.05,1.3,1.09,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.09,0,0.9
A51121,1,37.1665629,2002.86,0.05,1.3,3.81,0.12,32,0.13,0.5,0.03,0.03,0.348,0,0,0.15,100,30,3.81,0,0.9
A51125,1,37.75715611,696.36,0.05,1.3,1.98,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.98,0,0.9
A51127,1,37.50471587,78.88,0.05,1.3,1.11,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.11,0,0.9
A51131,1,37.34656859,22.9,0.05,1.3,1.03,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.03,0,0.9
A51133,1,37.88757383,65.31,0.05,1.3,1.09,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.09,0,0.9
A51135,1,37.14306624,414.42,0.05,1.3,1.58,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.58,0,0.9
A51137,1,38.24585058,424.35,0.05,1.3,1.6,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.6,0,0.9
A51139,1,38.63329052,909.5,0.05,1.3,2.28,0.12,32,0.13,0.5,0.03,0.03,0.09,0,0,0.15,100,30,2.28,0,0.9
A51141,1,36.66471603,1339.18,0.05,1.3,2.88,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.88,0,0.9
A51143,1,36.82129761,717.06,0.05,1.3,2.01,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,2.01,0,0.9
A51145,1,37.55015607,297.57,0.05,1.3,1.42,0.12,32,0.13,0.5,0.03,0.03,0,0,0,0.15,100,30,1.42,0,0.9
