BMPFullane,BMP Shortname,Landuse_Type,HGMR,TN,TP,BOD,SED
Barnyard Runoff Control,BarnRunoffCont,afocafo,all,0.2,0.2,0.2,0.4
Biorentention - with underdrain with AB Soils,BioRet,urban,all,0.7,0.75,0.725,0.8
Bioswale,BioSwale,urban,all,0.7,0.75,0.725,0.8
Irrigation water Capture Reuse,CaptureReuse,urs,all,0.75,0.75,0.75,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,APCN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,APSN,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,BR_N,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,CPDN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,CPDT,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,CPLN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,CPLT,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,CPUN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,CPUT,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,ML_N,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,PCAN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,PCRN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,VRCN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,high,VRSN,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,APCN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,APSN,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,BR_N,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,CPDN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,CPDT,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,CPLN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,CPLT,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,CPUN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,CPUT,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,ML_N,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,PCAN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,PCRN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,VRCN,0.07,0,0.035,0
Commodity Cover Crop Early-Planting Aerial Corn Barley,ComCovCropEAB,low,VRSN,0.06,0,0.03,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,APCN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,APSN,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,BR_N,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,CPDN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,CPDT,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,CPLN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,CPLT,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,CPUN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,CPUT,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,ML_N,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,PCAN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,PCRN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,VRCN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,high,VRSN,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,APCN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,APSN,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,BR_N,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,CPDN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,CPDT,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,CPLN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,CPLT,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,CPUN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,CPUT,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,ML_N,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,PCAN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,PCRN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,VRCN,0.1,0,0.05,0
Commodity Cover Crop Early-Planting Aerial Corn Rye,ComCovCropEAR,low,VRSN,0.08,0,0.04,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,APCN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,APSN,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,BR_N,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,CPDN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,CPDT,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,CPLN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,CPLT,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,CPUN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,CPUT,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,ML_N,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,PCAN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,PCRN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,VRCN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,high,VRSN,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,APCN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,APSN,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,BR_N,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,CPDN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,CPDT,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,CPLN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,CPLT,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,CPUN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,CPUT,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,ML_N,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,PCAN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,PCRN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,VRCN,0.12,0,0.06,0
Commodity Cover Crop Early-Planting Aerial Soy Barley,ComCovCropEASB,low,VRSN,0.09,0,0.045,0
Commodity Cover Crop Early-Planting Aerial Soy Rye,ComCovCropEASR,high,APCN,0.17,0,0.085,0
Commodity Cover Crop Early-Planting Aerial Soy Rye,ComCovCropEASR,high,APSN,0.13,0,0.065,0
Commodity Cover Crop Early-Planting Aerial Soy Rye,ComCovCropEASR,high,BR_N,0.13,0,0.065,0
Commodity Cover Crop Early-Planting Aerial Soy Rye,ComCovCropEASR,high,CPDN,0.17,0,0.085,0
