seg,combined_factor_N,combined_factor_P
EU0_3050_0000,0.459,1.16
EU0_3130_0000,0.459,1.16
EU0_3200_0000,0.459,1.16
EU0_3201_0000,0.459,1.16
EU0_3202_0000,0.459,1.16
EU0_3203_0000,0.459,1.16
EU0_3300_0000,0.459,1.16
EU0_3360_0000,0.459,1.16
EU0_3361_0000,0.459,1.16
EU0_3362_0000,0.459,1.16
EU0_3363_0000,0.459,1.16
EU0_3570_0000,0.459,1.16
EU0_3571_0000,0.459,1.16
EU0_3572_0000,0.459,1.16
EU0_3573_0000,0.459,1.16
EU0_3700_0000,0.459,1.16
EU0_3720_0000,0.459,1.16
EU0_3721_0000,0.459,1.16
EU0_3722_0000,0.459,1.16
EU0_3724_0000,0.459,1.16
EU0_3725_0000,0.459,1.16
EU0_3830_0001,0.459,1.16
EU0_4010_0000,0.459,1.16
EU0_4011_0000,0.459,1.16
EU0_4012_0000,0.459,1.16
EU0_4013_0000,0.459,1.16
EU0_4014_0000,0.459,1.16
EU0_4015_0000,0.459,1.16
EU0_4030_0000,0.459,1.16
EU0_4120_0000,0.459,1.16
EU0_4121_0000,0.459,1.16
EU0_4260_0000,0.459,1.16
EU0_4470_0000,0.459,1.16
EU0_4471_0000,0.459,1.16
EU0_4472_0000,0.459,1.16
EU0_4473_0000,0.459,1.16
EU0_4474_0000,0.459,1.16
EU0_4475_0000,0.459,1.16
EU0_4490_0000,0.459,1.16
EU0_4550_0000,0.459,1.16
EU0_4610_0000,0.459,1.16
EU0_4700_0000,0.459,1.16
EU1_2650_0001,0.98,0.8198
EU1_2810_0001,0.98,0.8198
EU1_2980_0000,0.459,1.16
EU1_2981_0000,0.459,1.16
EU1_2982_0000,0.459,1.16
EU1_2983_0000,0.459,1.16
EU1_2984_0000,0.459,1.16
EU2_3520_0001,0.459,1.16
GY0_3800_3801,0.7401,0.735
GY0_3801_0000,0.7401,0.735
GY0_3950_3952,0.7401,0.735
GY0_3951_3952,0.7401,0.735
GY0_3952_0000,0.7401,0.735
GY0_4240_3951,0.7401,0.735
GY0_4530_4532,0.7401,0.735
GY0_4531_4532,0.7401,0.735
GY0_4532_3951,0.7401,0.735
JA0_7291_7290,0.3529,0.9771
JA1_7600_7570,1.0457,0.424
JA1_7640_7280,1.0457,0.9771
JA2_7290_0001,0.3529,0.9771
JA2_7410_7470,1.0457,0.9771
JA2_7550_7280,1.0457,1.9566
JA2_7570_7480,1.0457,0.9771
JA4_7280_7340,1.0457,0.9771
JA4_7340_7470,1.0457,0.9771
JA4_7470_7480,1.0457,0.9771
JA5_7460_0000,0.3529,1.16
JA5_7480_0001,1.0457,0.9771
JA5_7520_0000,0.3529,0.9771
JB0_7050_0000,0.459,1.16
JB0_7051_0001,0.459,1.16
JB0_7052_0001,0.459,1.16
JB3_7053_0001,0.459,1.16
JB0_7071_0000,0.459,1.16
JB0_7072_0000,0.459,1.16
JB0_7073_0000,0.459,1.16
JB0_7074_0000,0.459,1.16
JB0_7270_0000,0.459,1.16
JB0_7390_0000,0.459,1.16
JB0_7580_0000,0.459,1.16
JB0_7660_0000,0.459,1.16
JB0_7760_0000,0.459,1.16
JB1_8090_0001,0.459,1.16
JB2_7800_0001,0.459,1.16
JB3_6820_7053,0.2428,1.9108
JL7_7070_0001,0.9067,1.5232
JL1_6560_6440,0.3429,3.5778
JL1_6760_6910,0.8676,1.6408
JL1_6770_6850,0.8143,1.0807
JL1_6910_6960,0.8676,1.6408
JL1_6940_7200,0.8143,1.0807
JL1_7080_7190,0.3091,4
JL1_7170_6800,0.6867,1.4102
JL1_7190_7250,0.8143,1.0807
JL1_7200_7250,0.8143,1.0807
JL1_7530_7430,0.4226,0.9504
JL2_6240_6520,0.5458,1.5423
JL2_6440_6441,0.7192,2.7307
JL2_6441_6520,0.7192,2.7307
JL2_6850_6890,0.8143,1.0807
JL2_7110_7120,0.8676,0.5522
JL2_7120_6970,0.8676,1.6408
JL2_7240_7350,0.2769,2.4826
JL2_7250_7090,0.8143,1.0807
JL2_7350_7090,0.8143,1.0807
JL3_7020_7100,0.8676,1.6408
JL3_7090_7150,0.8143,1.0807
JL4_6520_6710,0.5458,0.8905
JL4_6710_6740,0.8676,1.6408
JL6_6740_7100,0.8676,1.6408
JL6_6890_6990,0.8143,1.0807
JL6_6960_6970,0.8676,1.6408
JL6_6970_6740,0.8676,1.6408
JL6_6990_6960,0.8676,1.6408
JL6_7150_6890,0.8143,1.0807
JL6_7160_7440,0.4226,0.9504
JL6_7320_7150,0.8143,1.0807
JL6_7430_7320,0.4226,0.9504
JL6_7440_7430,0.4226,0.9504
JL7_6800_7070,0.6867,1.4102
JL7_7030_6800,0.6867,1.4102
JL7_7100_7030,0.8676,1.6408
JU1_6290_6590,0.4854,3.4807
JU1_6300_6650,0.2309,3.1447
JU1_6340_6650,0.4226,2.9446
JU1_6590_6600,0.4854,3.4807
JU1_6880_7260,0.1996,2.2487
JU1_7560_7500,0.4226,0.9504
JU1_7630_7490,0.4226,4
JU1_7690_7490,0.4226,0.9504
JU1_7750_7560,0.4226,2.7503
JU2_6410_6640,0.1552,3.8124
JU2_6600_6810,0.4854,3.4807
JU2_6810_6900,1.3809,0.4098
JU2_7140_7330,0.6373,1.9293
JU2_7180_7380,0.4226,0.9504
JU2_7360_7000,0.4226,0.9504
JU2_7450_7360,0.4226,0.9504
JU3_6380_6900,0.3133,3.2648
JU3_6640_6790,0.2124,3.6456
JU3_6650_7300,0.4226,2.9446
JU3_6790_7260,0.1996,2.2487
JU3_6900_6950,1.3809,0.4098
JU3_6950_7330,0.6373,1.9293
JU3_7400_7510,0.4226,0.9504
JU3_7490_7400,0.4226,0.9504
JU4_7000_7300,0.4226,0.9504
JU4_7260_7380,0.4226,0.9504
JU4_7330_7000,0.4226,0.9504
JU4_7380_7160,0.4226,0.9504
JU5_7300_7510,0.4226,0.9504
JU5_7420_7160,0.4226,0.9504
JU5_7500_7420,0.4226,0.9504
JU5_7510_7500,0.4226,0.9504
KU0_8980_0000,0.8355,1.7593
MN0_7790_0000,0.459,1.16
MN0_7870_0000,0.459,1.16
MN0_8040_0000,0.459,1.16
MN0_8300_0001,0.459,1.16
MN1_7590_7860,0.459,1.16
MN1_7620_7710,0.459,1.3435
MN1_7730_8160,0.459,1.16
MN1_7990_8100,0.6857,0.9116
MN1_8240_0000,0.459,1.16
MN2_7720_7830,0.459,1.3435
MN2_7830_7950,0.459,1.3435
MN2_7850_0000,0.459,1.16
MN2_8100_8190,0.6857,0.9116
MN2_8250_8190,0.6857,0.9116
MN2_8530_8510,0.5775,1.0735
MN3_7540_7680,0.3346,1.0428
MN3_7680_7860,0.459,1.16
MN3_7770_7930,0.3921,2.0614
MN3_7860_8080,0.459,1.16
MN3_7930_8010,0.3921,2.0614
MN3_8010_7950,0.4136,1.3435
MN3_8150_0000,0.459,1.16
MN3_8190_8260,0.6857,0.9116
MN4_7710_8161,0.4136,1.3435
MN4_7810_8080,0.459,1.16
MN4_7950_7710,0.4136,1.3435
MN4_8080_8110,0.459,1.16
MN4_8110_0000,0.459,1.16
MN4_8260_8400,0.6857,0.9116
MN4_8380_0000,0.4607,1.16
MN4_8400_8380,0.5775,1.0735
MN4_8510_8380,0.5775,1.0735
MN5_8160_0000,0.459,1.16
MN5_8161_8160,0.459,1.16
MN5_8230_8161,0.4136,1.3435
NR0_8310_0000,0.8188,1.7593
NR1_7880_8050,1.076,1.7627
NR1_8030_8051,1.076,1.7627
NR1_8820_8760,0.7453,1.0313
NR1_8960_8870,0.7061,2.0291
NR1_9030_9080,0.7061,2.0291
NR1_9150_9050,0.7061,2.0291
NR2_8210_8180,0.4564,2.3697
NR2_8600_8700,0.8368,1.0793
NR2_9250_9170,0.7061,2.0291
NR3_8290_8170,1.076,1.7627
NR3_8420_8430,0.4612,3.92
NR3_8430_7820,1.076,1.7627
NR3_8690_8500,0.7453,1.0313
NR3_8740_8500,0.7453,1.0313
NR3_9170_9130,0.7061,2.0291
NR3_9190_9170,0.7061,2.0291
NR3_9240_9130,0.7061,2.0291
NR3_9310_9240,0.7061,2.0291
NR4_9130_9080,0.7061,2.0291
NR5_8700_8640,0.7453,1.0313
NR5_8760_8640,0.7453,1.0313
NR5_8870_8760,0.7453,1.0313
NR5_9050_8870,0.7061,2.0291
NR5_9080_9050,0.7061,2.0291
NR6_7820_7960,1.076,1.7627
NR6_7960_8050,1.076,1.7627
NR6_8000_0000,0.8188,1.7593
NR6_8050_8051,1.076,1.7627
NR6_8051_8000,1.076,1.7627
NR6_8170_7960,1.076,1.7627
NR6_8180_8051,1.076,1.7627
NR6_8500_7820,1.076,1.7627
NR6_8640_8500,0.7453,1.0313
OD6_8621_8470,0.6185,1.6834
OD3_8931_9140,0.6185,1.6834
OD1_8910_8930,0.3273,2.7678
OD1_9270_9110,0.6185,1.6834
OD2_8560_8630,0.6185,1.6834
OD2_8670_8890,0.206,2.2994
OD2_8830_8710,0.6185,1.6834
OD2_8840_9020,0.6185,1.6834
OD2_8920_8830,0.6185,1.6834
OD3_8340_8520,0.6185,1.6834
OD3_8520_8621,0.6185,1.6834
OD3_8630_8720,0.6185,1.6834
OD3_8710_8470,0.6185,1.6834
OD3_8720_8900,0.6185,1.6834
OD3_8850_8931,0.2868,2.4131
OD3_8930_8931,0.6185,1.6834
OD3_9020_9110,0.6185,1.6834
OD4_8990_8900,0.6185,1.6834
OD4_9110_9140,0.6185,1.6834
OD4_9140_8990,0.6185,1.6834
OD5_8770_8780,0.6185,1.6834
OD5_8780_8660,0.6185,1.6834
OD5_8890_8770,0.6185,1.6834
OD5_8900_8770,0.6185,1.6834
OD5_8940_8780,0.6185,1.6834
OD6_8660_8621,0.6185,1.6834
OR1_7700_7980,0.6185,1.6834
OR1_8280_8020,0.6185,1.6834
OR1_8320_8271,0.8431,1.3906
OR2_7610_7780,0.6185,1.6834
OR2_7650_8070,0.2525,2.0492
OR2_7670_7840,0.2665,2.6567
OR2_7780_7890,0.6185,1.6834
OR2_7840_7970,0.6185,1.6834
OR2_7900_7740,0.6185,1.6834
OR2_8020_8130,0.6185,1.6834
OR2_8070_8120,0.6185,1.6834
OR2_8130_7900,0.6185,1.6834
OR2_8450_8490,0.6185,1.6834
OR2_8460_8271,0.3423,1.9008
OR3_7740_8271,0.6185,1.6834
OR4_8120_7890,0.6185,1.6834
OR4_8271_8120,0.6185,1.6834
OR5_7890_7970,0.6185,1.6834
OR5_7910_8410,0.6185,1.6834
OR5_7970_8200,0.6185,1.6834
OR5_7980_8200,0.6185,1.6834
OR5_8200_8370,0.6185,1.6834
OR5_8370_8410,0.6185,1.6834
OR5_8410_8470,0.6185,1.6834
OR7_8470_8490,0.6185,1.6834
OR7_8490_0000,0.6185,1.6834
PL0_4510_0001,0.5252,0.784
PL0_4961_0000,0.459,1.16
PL0_5000_0001,0.675,1.8215
PL0_5010_5130,0.2257,0.6841
PL0_5070_0001,0.459,1.16
PL0_5090_0000,0.675,1.2101
PL0_5131_0000,0.459,1.16
PL0_5141_5140,0.675,1.2101
PL3_5250_0001,0.675,1.2101
PL0_5251_0000,0.459,1.16
PL0_5290_0000,0.459,1.16
PL0_5390_0000,0.459,1.16
PL0_5440_0000,0.459,1.16
PL0_5450_0000,0.459,1.16
PL0_5490_0001,0.459,1.16
PL0_5491_0000,0.459,1.16
PL0_5510_0001,0.459,1.16
PL0_5530_5710,0.459,1.16
PL0_5540_5490,0.4494,0.8
PL0_5580_0000,0.459,1.16
PL0_5581_0000,0.459,1.16
PL0_5582_0000,0.459,1.16
PL0_5583_0000,0.459,1.16
PL0_5584_0000,0.459,1.16
PL0_5585_0000,0.459,1.16
PL0_5670_0000,0.459,1.16
PL0_5671_0000,0.459,1.16
PL0_5672_0000,0.459,1.16
PL0_5710_0001,0.459,1.16
PL0_5720_0001,0.459,1.16
PL0_5730_5690,0.675,2.3397
PL0_5750_0001,0.459,1.16
PL0_5790_0000,0.459,1.16
PL0_5830_0001,0.459,1.16
PL0_5850_0000,0.675,1.2101
PL0_5860_0000,0.459,1.16
PL0_5900_0000,0.459,1.16
PL0_5920_0000,0.459,1.16
PL0_5930_0000,0.459,1.16
PL0_5950_0000,0.459,1.16
PL0_5951_0000,0.459,1.16
PL0_5952_0000,0.459,1.16
PL0_5960_0000,0.459,1.16
PL0_5961_0000,0.459,1.16
PL0_5962_0000,0.459,1.16
PL0_5980_0000,0.459,1.16
PL0_5981_0000,0.459,1.16
PL0_5982_0000,0.459,1.16
PL0_5983_0000,0.459,1.16
PL0_6020_0000,0.459,1.16
PL0_6060_0000,0.459,1.16
PL0_6100_0000,0.459,1.16
PL0_6110_0000,0.459,1.16
PL0_6130_0000,0.459,1.16
PL0_6140_0000,0.459,1.16
PL0_6270_0000,0.459,1.16
PL1_4460_4780,0.4447,1.0483
PL1_4540_0001,0.459,1.1069
PL1_4780_0001,0.675,1.2101
PL1_5060_0000,0.459,1.16
PL1_5061_0000,0.459,1.16
PL1_5130_0001,0.675,1.2101
PL1_5230_0001,0.459,1.16
PL1_5370_5470,0.675,0.5663
PL1_5690_0001,0.675,1.2101
PL1_5910_0001,0.459,1.16
PL2_4810_0000,0.459,1.16
PL2_4945_0004,0.459,1.16
PL2_4970_5250,0.675,1.2101
PL2_5140_5360,0.675,1.2101
PL2_5300_5630,0.459,1.16
PL2_5470_5360,0.675,1.2101
PL2_5630_0001,0.459,1.16
PL2_5800_0000,0.459,1.16
PL3_5360_5250,0.675,1.2101
PL7_4910_0000,0.675,1.2101
PL7_4940_0000,0.459,1.16
PL7_4960_0000,0.675,1.2101
PL7_4980_0000,0.459,1.16
PM0_4640_4820,1.203,0.9922
PM1_3120_3400,1.209,0.714
PM1_3450_3400,0.8636,0.8811
PM1_3510_4000,0.6092,1.221
PM1_3710_4040,0.8636,0.8811
PM1_4000_4290,1.4016,1.0346
PM1_4250_4500,1.203,0.4125
PM1_4430_4200,0.3919,1.7572
PM1_4500_4580,1.203,0.9922
PM2_2860_3040,0.8236,1.1847
PM2_3400_3340,0.8636,0.8811
PM2_4860_4670,1.203,0.8237
PM3_3040_3340,0.8636,0.8811
PM3_4660_4620,1.203,0.9922
PM3_4670_4660,1.203,0.8237
PM4_3340_3341,0.8636,0.8811
PM4_3341_4040,0.8636,0.8811
PM4_4040_4410,1.203,0.9922
PM7_4150_4290,1.4016,1.0346
PM7_4200_4410,1.203,0.9922
PM7_4290_4200,1.4016,1.0346
PM7_4410_4620,1.203,0.9922
PM7_4580_4820,1.203,0.9922
PM7_4620_4580,1.203,0.9922
PM7_4820_0001,1.203,0.9922
PS0_6150_6160,0.5388,0.7488
PS0_6160_6161,0.5388,0.7488
PS1_4790_4830,1.3699,1.4156
PS1_4830_5080,1.3699,1.063
PS2_5550_5560,0.4613,1.8681
PS2_5560_5100,0.3888,0.8123
PS2_6420_6360,0.5873,1.2293
PS2_6490_6420,0.4967,0.8157
PS2_6660_6490,0.4967,0.8157
PS2_6730_6660,0.3596,1.3144
PS3_5100_5080,0.8698,0.641
PS3_5990_6161,0.5388,0.7488
PS3_6161_6280,0.5388,0.7488
PS3_6280_6230,0.5873,1.2293
PS3_6460_6230,0.4724,0.7616
PS4_5080_4380,1.3699,1.063
PS4_5840_5240,0.3556,1.1249
PS4_6230_6360,0.5873,1.2293
PS4_6360_5840,0.5873,1.2293
PS5_4370_4150,1.4016,1.0346
PS5_4380_4370,1.3699,1.063
PS5_5200_4380,1.3699,1.063
PS5_5240_5200,0.6539,0.6035
PU0_3000_3090,1.4746,0.8119
PU0_3601_3602,1.3521,0.8886
PU0_3611_3530,1.3521,0.8886
PU0_3751_3752,1.3521,0.8886
PU0_3871_3690,1.277,0.998
PU0_5620_5380,0.7648,0.3118
PU0_6080_5620,0.7648,0.3118
PU1_3030_3440,1.3521,0.8886
PU1_3100_3690,1.277,0.998
PU1_3170_3580,0.7648,0.7468
PU1_3580_3780,0.7648,0.7468
PU1_3850_4190,0.8969,0.3988
PU1_3940_3970,0.9764,0.9548
PU1_4190_4300,0.8969,0.3988
PU1_4300_4440,0.8969,0.3988
PU1_4760_4450,0.8969,0.3988
PU1_4840_4760,0.8969,0.3988
PU1_5380_5050,0.7648,0.3118
PU1_5520_5210,0.7648,0.3118
PU1_5820_5380,0.7648,0.3118
PU2_2790_3290,1.6773,0.7996
PU2_2840_3080,1.3521,0.8886
PU2_3080_3640,1.3521,0.8886
PU2_3090_4050,1.38,0.8032
PU2_3140_3680,0.8378,0.7042
PU2_3180_3370,0.7648,0.7468
PU2_3370_4020,0.7648,0.7468
PU2_3630_3590,1.3521,0.8886
PU2_3770_3600,1.3521,0.8886
PU2_3900_3750,1.3521,0.8886
PU2_4050_4180,1.4016,1.0346
PU2_4160_3930,0.7648,0.7468
PU2_4220_3900,1.3521,0.8886
PU2_4340_3860,0.3042,0.49
PU2_4360_4160,0.7648,0.7468
PU2_4720_4750,0.8969,0.3988
PU2_4730_4220,1.3521,0.8886
PU2_4750_4450,0.8969,0.3988
PU2_5190_4310,0.7648,0.25
PU2_5700_5210,0.7648,0.3118
PU2_6050_5190,0.7648,0.6859
PU3_2510_3290,1.6773,0.7996
PU3_3290_3390,1.6773,0.7996
PU3_3390_3730,1.3521,0.8886
PU3_3680_3890,0.8378,0.7042
PU3_3860_3610,0.3042,0.49
PU3_4280_3860,0.3042,0.49
PU3_4450_4440,0.8969,0.3988
PU3_5210_5050,0.7648,0.3118
PU4_3780_3930,0.7648,0.7468
PU4_3890_3990,0.7648,1.287
PU4_3970_3890,0.7648,1.287
PU4_3990_3780,0.7648,0.7468
PU4_4210_4170,0.7648,0.7468
PU4_4310_4210,0.7648,0.3118
PU4_4440_3970,0.7648,1.287
PU4_5050_4310,0.7648,0.3118
PU5_3930_4170,0.7648,0.7468
PU5_4170_4020,0.7648,0.7468
PU6_3440_3590,1.3521,0.8886
PU6_3530_3440,1.3521,0.8886
PU6_3590_3640,1.3521,0.8886
PU6_3600_3602,1.3521,0.8886
PU6_3602_3730,1.3521,0.8886
PU6_3610_3530,1.277,0.998
PU6_3640_3600,1.3521,0.8886
PU6_3690_3610,1.277,0.998
PU6_3730_3750,1.3521,0.8886
PU6_3750_3752,1.3521,0.8886
PU6_3752_4080,1.3521,0.8886
PU6_3870_3690,1.277,0.998
PU6_4020_3870,0.7648,0.7468
PU6_4080_4180,1.4016,1.0346
PU6_4180_4150,1.4016,1.0346
RL0_6450_0000,0.459,1.16
RL0_6500_0000,0.459,1.16
RL0_6501_0000,0.459,1.16
RL0_6530_0000,0.459,1.16
RL0_6540_0001,0.459,2.1925
RL1_6180_0001,0.4789,1.1652
RL1_6322_0000,0.459,1.16
RL5_6070_0000,0.459,1.16
RL5_6320_0000,0.459,1.16
RL5_6321_0000,0.459,1.16
RU2_5220_5640,0.6767,1.1141
RU2_5500_5610,0.6767,1.4314
RU2_5810_5610,0.6767,1.4314
RU2_5940_6200,0.349,1.5256
RU2_6090_6220,0.6767,1.6023
RU2_6200_6170,0.6767,0.8921
RU2_6220_6170,0.6767,0.8921
RU3_5610_5640,0.6767,1.1141
RU3_6170_6040,0.6767,0.8921
RU4_5640_6030,0.6767,1.073
RU4_6040_6030,0.6767,1.073
RU5_6030_0001,0.6767,1.073
SJ1_2280_2450,1.8337,0.6965
SJ2_1900_1930,1.8337,0.6965
SJ2_2110_2170,1.8337,0.6965
SJ2_2150_2130,1.8337,0.6965
SJ2_2500_2450,1.8337,0.6965
SJ2_2530_2820,1.0276,0.7231
SJ2_2570_2660,1.0276,0.7231
SJ2_2580_2500,1.8337,0.6965
SJ2_2820_2740,1.0276,0.7231
SJ2_2900_2740,1.0276,0.7231
SJ3_1980_2060,1.8337,1.0128
SJ3_2040_1980,1.8337,0.5875
SJ3_2160_2170,1.8337,0.6965
SJ3_2170_1970,1.8337,0.6965
SJ3_2230_2060,1.8337,1.0128
SJ3_2250_2230,1.8337,0.6348
SJ3_2450_2120,1.8337,0.6965
SJ4_2010_2210,1.8337,0.9322
SJ4_2060_2010,1.8337,1.0128
SJ4_2340_2210,1.8337,0.9322
SJ4_2360_2340,1.8337,0.9322
SJ4_2660_2360,1.0276,0.7231
SJ4_2740_2660,1.0276,0.7231
SJ5_2120_1930,1.8337,0.6965
SJ5_2210_2320,1.8337,0.9322
SJ5_2320_2120,1.8337,0.6965
SJ6_1930_1970,1.8337,0.6965
SJ6_1970_2130,1.8337,0.6965
SJ6_2130_2050,1.3182,0.7395
SL0_2180_2220,1.3987,0.6259
SL0_2220_2140,1.3987,0.6259
SL0_2721_2720,0.8872,0.5264
SL0_2831_2830,1.2184,0.602
SL1_1700_1780,1.3182,0.7395
SL1_1730_1700,1.3182,0.9765
SL1_1790_1840,1.3182,0.7395
SL1_2000_2090,1.3987,0.6259
SL1_2190_2350,1.3339,0.7392
SL1_2390_2420,1.1831,0.8534
SL1_2670_2370,1.4272,0.6807
SL1_2760_2730,1.2184,0.7132
SL1_2770_2730,1.2184,0.6618
SL1_2830_2760,1.2184,0.602
SL2_1670_1880,1.3182,0.7395
SL2_1810_2030,1.3182,0.8308
SL2_1850_1990,1.5372,0.5082
SL2_1990_2070,0.6711,1.3207
SL2_2070_2090,1.3987,0.6259
SL2_2200_2350,1.3339,0.7392
SL2_2300_2520,0.8872,0.5264
SL2_2410_2700,0.8872,0.5264
SL2_2480_0001,0.98,0.8198
SL2_2540_2370,1.4272,0.6807
SL2_2750_2720,0.8872,0.5264
SL2_2910_3060,0.98,0.8198
SL2_3060_0001,0.98,0.8198
SL3_1710_1740,1.3182,0.6562
SL3_1740_1840,1.3182,0.7395
SL3_1840_1880,1.3182,0.7395
SL3_1960_2080,1.3182,0.7395
SL3_2260_2050,1.3182,0.7395
SL3_2290_2260,1.3557,0.6617
SL3_2350_2470,1.3339,0.7392
SL3_2400_2440,1.155,0.7947
SL3_2420_2700,1.3339,0.5542
SL3_2440_2380,1.155,0.7947
SL3_2460_2430,1.0502,1.0133
SL3_2470_2420,1.3339,0.5542
SL3_2550_2490,1.155,0.7947
SL3_2730_2550,1.2184,0.7132
SL4_2090_2100,1.3987,0.6259
SL4_2100_2140,1.3987,0.6259
SL4_2140_2240,1.3987,0.6259
SL4_2240_2310,1.155,0.7947
SL4_2330_2270,1.3182,0.7395
SL4_2370_2330,1.4272,0.6807
SL8_1760_1780,1.3182,0.7296
SL8_1780_1880,1.3182,0.7395
SL8_1880_2030,1.3182,0.7395
SL8_2030_2080,1.3182,0.7395
SL8_2080_2050,1.3182,0.7395
SL9_2050_2270,1.3182,0.7395
SL9_2270_2380,1.155,0.7947
SL9_2310_2430,1.155,0.7947
SL9_2380_2310,1.155,0.7947
SL9_2430_2490,1.155,0.7947
SL9_2490_2520,1.155,0.7947
SL9_2520_2700,0.8872,0.5264
SL9_2700_2720,0.8872,0.5264
SL9_2720_0001,0.8872,0.5264
